SQL> SELECT * FROM UTILISATEUR_DIMENSION_DYNAMIQUE;

"ID_UTILISATEUR","PAYS_INSCRIPTION","PSEUDONYME","TRANCHE_AGE_CALCULEE","GENRE_DECLARE","TYPE_ABONNEMENT"
"5508","France","User_5508","36-45","Homme","Premium"
"5516","France","User_5516","18-25","Femme","Student"
"5517","France","User_5517","26-35","Homme","Premium"
"5519","France","User_5519","46+","Homme","Premium"
"5522","France","User_5522","36-45","Non-d??clar??","Student"
"5525","France","User_5525","46+","Non-d??clar??","Premium"
"5530","France","User_5530","36-45","Non-d??clar??","Premium"
"5537","France","User_5537","36-45","Non-d??clar??","Premium"
"5547","France","User_5547","46+","Homme","Free"
"5549","France","User_5549","46+","Homme","Premium"
"5551","France","User_5551","46+","Non-d??clar??","Student"
"5556","France","User_5556","36-45","Homme","Free"
"5559","France","User_5559","18-25","Homme","Premium"
"5569","France","User_5569","26-35","Femme","Student"
"5571","France","User_5571","26-35","Femme","Free"
"5573","France","User_5573","46+","Non-d??clar??","Student"
"5579","France","User_5579","18-25","Non-d??clar??","Student"
"5580","France","User_5580","26-35","Non-d??clar??","Free"
"5581","France","User_5581","36-45","Femme","Free"
"5588","France","User_5588","36-45","Homme","Free"
"5591","France","User_5591","18-25","Homme","Student"
"5602","France","User_5602","18-25","Femme","Free"
"5611","France","User_5611","46+","Non-d??clar??","Student"
"5612","France","User_5612","18-25","Homme","Free"
"5617","France","User_5617","18-25","Non-d??clar??","Premium"
"5622","France","User_5622","36-45","Non-d??clar??","Student"
"5640","France","User_5640","46+","Homme","Student"
"5643","France","User_5643","26-35","Homme","Student"
"5650","France","User_5650","36-45","Femme","Free"
"5652","France","User_5652","26-35","Homme","Free"
"5655","France","User_5655","18-25","Homme","Premium"
"5656","France","User_5656","18-25","Femme","Premium"
"5658","France","User_5658","26-35","Homme","Premium"
"5662","France","User_5662","18-25","Homme","Premium"
"5664","France","User_5664","18-25","Femme","Student"
"5670","France","User_5670","18-25","Non-d??clar??","Free"
"5671","France","User_5671","26-35","Femme","Student"
"5678","France","User_5678","26-35","Non-d??clar??","Free"
"5679","France","User_5679","26-35","Femme","Free"
"5681","France","User_5681","26-35","Femme","Student"
"5683","France","User_5683","46+","Non-d??clar??","Student"
"5685","France","User_5685","46+","Homme","Student"
"5704","France","User_5704","36-45","Femme","Premium"
"5706","France","User_5706","26-35","Non-d??clar??","Student"
"5709","France","User_5709","46+","Homme","Free"
"5715","France","User_5715","36-45","Femme","Premium"
"5717","France","User_5717","26-35","Non-d??clar??","Premium"
"5728","France","User_5728","18-25","Femme","Premium"
"5735","France","User_5735","46+","Femme","Student"
"5739","France","User_5739","46+","Femme","Premium"
"5749","France","User_5749","46+","Femme","Premium"
"5757","France","User_5757","18-25","Homme","Premium"
"5764","France","User_5764","46+","Non-d??clar??","Premium"
"5767","France","User_5767","46+","Femme","Student"
"5770","France","User_5770","18-25","Homme","Student"
"5778","France","User_5778","26-35","Non-d??clar??","Premium"
"5782","France","User_5782","36-45","Non-d??clar??","Free"
"5787","France","User_5787","36-45","Femme","Premium"
"5796","France","User_5796","46+","Non-d??clar??","Free"
"5798","France","User_5798","46+","Non-d??clar??","Free"
"5801","France","User_5801","46+","Femme","Premium"
"5802","France","User_5802","18-25","Femme","Premium"
"5803","France","User_5803","46+","Non-d??clar??","Premium"
"5806","France","User_5806","36-45","Femme","Student"
"5810","France","User_5810","46+","Femme","Premium"
"5814","France","User_5814","46+","Femme","Free"
"5817","France","User_5817","26-35","Femme","Free"
"5821","France","User_5821","26-35","Femme","Student"
"5822","France","User_5822","18-25","Non-d??clar??","Premium"
"5824","France","User_5824","36-45","Non-d??clar??","Premium"
"5827","France","User_5827","36-45","Non-d??clar??","Free"
"5828","France","User_5828","18-25","Non-d??clar??","Student"
"5829","France","User_5829","46+","Homme","Premium"
"5832","France","User_5832","46+","Non-d??clar??","Free"
"5834","France","User_5834","18-25","Femme","Premium"
"5835","France","User_5835","36-45","Femme","Student"
"5837","France","User_5837","36-45","Homme","Premium"
"5841","France","User_5841","46+","Homme","Free"
"5843","France","User_5843","26-35","Non-d??clar??","Free"
"5847","France","User_5847","18-25","Non-d??clar??","Free"
"5849","France","User_5849","18-25","Non-d??clar??","Student"
"5851","France","User_5851","36-45","Non-d??clar??","Free"
"5857","France","User_5857","46+","Non-d??clar??","Student"
"5863","France","User_5863","26-35","Femme","Free"
"5864","France","User_5864","46+","Femme","Student"
"5868","France","User_5868","36-45","Homme","Premium"
"5869","France","User_5869","36-45","Non-d??clar??","Premium"
"5871","France","User_5871","18-25","Femme","Premium"
"5879","France","User_5879","36-45","Homme","Student"
"5883","France","User_5883","46+","Homme","Student"
"5885","France","User_5885","26-35","Non-d??clar??","Student"
"5888","France","User_5888","46+","Homme","Student"
"5891","France","User_5891","36-45","Non-d??clar??","Free"
"5898","France","User_5898","18-25","Non-d??clar??","Premium"
"5901","France","User_5901","26-35","Femme","Free"
"5905","France","User_5905","18-25","Femme","Free"
"5912","France","User_5912","36-45","Non-d??clar??","Student"
"5914","France","User_5914","26-35","Femme","Free"
"5921","France","User_5921","36-45","Non-d??clar??","Student"
"5924","France","User_5924","36-45","Femme","Premium"
"5932","France","User_5932","18-25","Homme","Student"
"5940","France","User_5940","36-45","Homme","Student"
"5944","France","User_5944","18-25","Femme","Premium"
"5947","France","User_5947","26-35","Femme","Premium"
"5952","France","User_5952","26-35","Non-d??clar??","Premium"
"5960","France","User_5960","36-45","Homme","Premium"
"5961","France","User_5961","36-45","Homme","Student"
"5962","France","User_5962","36-45","Femme","Student"
"5965","France","User_5965","18-25","Non-d??clar??","Student"
"5966","France","User_5966","36-45","Femme","Student"
"5974","France","User_5974","46+","Non-d??clar??","Student"
"5981","France","User_5981","18-25","Non-d??clar??","Premium"
"5982","France","User_5982","18-25","Femme","Premium"
"5983","France","User_5983","46+","Femme","Premium"
"5985","France","User_5985","26-35","Homme","Student"
"5987","France","User_5987","46+","Homme","Student"
"5988","France","User_5988","36-45","Homme","Premium"
"5996","France","User_5996","36-45","Homme","Student"
"5999","France","User_5999","36-45","Homme","Student"
"6004","France","User_6004","26-35","Femme","Student"
"6005","France","User_6005","36-45","Homme","Free"
"6008","France","User_6008","18-25","Femme","Premium"
"6010","France","User_6010","18-25","Femme","Free"
"6015","France","User_6015","26-35","Femme","Student"
"6016","France","User_6016","26-35","Non-d??clar??","Free"
"6021","France","User_6021","46+","Femme","Free"
"6029","France","User_6029","26-35","Non-d??clar??","Student"
"6032","France","User_6032","36-45","Homme","Student"
"6037","France","User_6037","26-35","Femme","Premium"
"6048","France","User_6048","46+","Femme","Premium"
"6051","France","User_6051","46+","Non-d??clar??","Free"
"6058","France","User_6058","36-45","Homme","Student"
"6063","France","User_6063","26-35","Femme","Free"
"6065","France","User_6065","18-25","Homme","Free"
"6068","France","User_6068","36-45","Non-d??clar??","Premium"
"6069","France","User_6069","26-35","Femme","Free"
"6075","France","User_6075","18-25","Homme","Premium"
"6083","France","User_6083","46+","Homme","Student"
"6085","France","User_6085","26-35","Homme","Free"
"6099","France","User_6099","26-35","Non-d??clar??","Student"
"6100","France","User_6100","26-35","Homme","Premium"
"6107","France","User_6107","46+","Non-d??clar??","Free"
"6109","France","User_6109","36-45","Non-d??clar??","Free"
"6116","France","User_6116","46+","Non-d??clar??","Free"
"6117","France","User_6117","46+","Non-d??clar??","Student"
"6120","France","User_6120","46+","Homme","Student"
"6122","France","User_6122","18-25","Femme","Student"
"6123","France","User_6123","18-25","Femme","Free"
"6125","France","User_6125","36-45","Femme","Student"
"6128","France","User_6128","18-25","Non-d??clar??","Premium"
"6130","France","User_6130","36-45","Non-d??clar??","Free"
"6132","France","User_6132","46+","Homme","Student"
"6133","France","User_6133","18-25","Homme","Student"
"6134","France","User_6134","26-35","Homme","Free"
"6137","France","User_6137","18-25","Homme","Premium"
"6138","France","User_6138","46+","Non-d??clar??","Premium"
"6139","France","User_6139","26-35","Non-d??clar??","Free"
"6141","France","User_6141","26-35","Femme","Free"
"6149","France","User_6149","26-35","Homme","Free"
"6152","France","User_6152","46+","Non-d??clar??","Student"
"6158","France","User_6158","36-45","Femme","Free"
"6163","France","User_6163","46+","Non-d??clar??","Premium"
"6166","France","User_6166","26-35","Homme","Premium"
"6168","France","User_6168","36-45","Femme","Premium"
"6170","France","User_6170","18-25","Homme","Free"
"6173","France","User_6173","36-45","Homme","Free"
"6175","France","User_6175","36-45","Homme","Premium"
"6181","France","User_6181","26-35","Femme","Free"
"6182","France","User_6182","36-45","Homme","Student"
"6184","France","User_6184","46+","Non-d??clar??","Premium"
"6189","France","User_6189","36-45","Non-d??clar??","Free"
"6196","France","User_6196","26-35","Femme","Premium"
"6201","France","User_6201","26-35","Femme","Premium"
"6206","France","User_6206","18-25","Femme","Premium"
"6208","France","User_6208","26-35","Non-d??clar??","Student"
"6212","France","User_6212","26-35","Homme","Student"
"6214","France","User_6214","18-25","Non-d??clar??","Premium"
"6217","France","User_6217","26-35","Femme","Free"
"6218","France","User_6218","26-35","Homme","Free"
"6220","France","User_6220","26-35","Non-d??clar??","Free"
"6226","France","User_6226","18-25","Homme","Student"
"6229","France","User_6229","36-45","Non-d??clar??","Student"
"6236","France","User_6236","26-35","Non-d??clar??","Free"
"6242","France","User_6242","46+","Non-d??clar??","Student"
"6243","France","User_6243","36-45","Non-d??clar??","Student"
"6248","France","User_6248","46+","Femme","Free"
"6265","France","User_6265","26-35","Femme","Student"
"6269","France","User_6269","18-25","Femme","Premium"
"6273","France","User_6273","26-35","Homme","Student"
"6275","France","User_6275","46+","Femme","Premium"
"6277","France","User_6277","36-45","Femme","Free"
"6281","France","User_6281","46+","Non-d??clar??","Free"
"6285","France","User_6285","18-25","Non-d??clar??","Free"
"6292","France","User_6292","36-45","Homme","Student"
"6295","France","User_6295","36-45","Non-d??clar??","Student"
"6296","France","User_6296","18-25","Femme","Premium"
"6302","France","User_6302","46+","Non-d??clar??","Student"
"6304","France","User_6304","26-35","Femme","Premium"
"6306","France","User_6306","46+","Femme","Premium"
"6308","France","User_6308","36-45","Femme","Free"
"6311","France","User_6311","18-25","Non-d??clar??","Premium"
"6314","France","User_6314","46+","Non-d??clar??","Free"
"6315","France","User_6315","18-25","Non-d??clar??","Free"
"6317","France","User_6317","26-35","Femme","Student"
"6329","France","User_6329","26-35","Homme","Free"
"6331","France","User_6331","36-45","Homme","Student"
"6333","France","User_6333","18-25","Homme","Student"
"6337","France","User_6337","36-45","Homme","Premium"
"6338","France","User_6338","36-45","Homme","Premium"
"6353","France","User_6353","26-35","Non-d??clar??","Free"
"6363","France","User_6363","46+","Homme","Free"
"6364","France","User_6364","46+","Femme","Student"
"6366","France","User_6366","26-35","Non-d??clar??","Free"
"6368","France","User_6368","26-35","Femme","Student"
"6369","France","User_6369","46+","Homme","Student"
"6374","France","User_6374","18-25","Non-d??clar??","Free"
"6377","France","User_6377","18-25","Non-d??clar??","Student"
"6387","France","User_6387","46+","Femme","Student"
"6393","France","User_6393","26-35","Non-d??clar??","Premium"
"6395","France","User_6395","26-35","Homme","Free"
"6397","France","User_6397","46+","Homme","Student"
"6400","France","User_6400","18-25","Homme","Student"
"6401","France","User_6401","36-45","Non-d??clar??","Student"
"6413","France","User_6413","46+","Homme","Student"
"6415","France","User_6415","36-45","Homme","Free"
"6425","France","User_6425","36-45","Non-d??clar??","Premium"
"6431","France","User_6431","36-45","Femme","Premium"
"6433","France","User_6433","46+","Homme","Premium"
"6434","France","User_6434","18-25","Femme","Student"
"6435","France","User_6435","46+","Homme","Student"
"6438","France","User_6438","26-35","Femme","Premium"
"6439","France","User_6439","26-35","Femme","Free"
"6441","France","User_6441","46+","Femme","Student"
"6453","France","User_6453","36-45","Non-d??clar??","Student"
"6455","France","User_6455","26-35","Non-d??clar??","Premium"
"6458","France","User_6458","26-35","Femme","Premium"
"6459","France","User_6459","18-25","Homme","Premium"
"6460","France","User_6460","36-45","Femme","Free"
"6467","France","User_6467","36-45","Homme","Free"
"6470","France","User_6470","36-45","Homme","Premium"
"6471","France","User_6471","46+","Homme","Premium"
"6473","France","User_6473","46+","Homme","Student"
"6474","France","User_6474","26-35","Femme","Free"
"6479","France","User_6479","26-35","Femme","Student"
"6485","France","User_6485","18-25","Homme","Free"
"6491","France","User_6491","26-35","Femme","Free"
"6510","France","User_6510","26-35","Homme","Free"
"6513","France","User_6513","18-25","Femme","Free"
"6523","France","User_6523","26-35","Homme","Free"
"6526","France","User_6526","36-45","Homme","Student"
"6527","France","User_6527","46+","Femme","Free"
"6530","France","User_6530","18-25","Femme","Premium"
"6533","France","User_6533","36-45","Non-d??clar??","Premium"
"6537","France","User_6537","36-45","Non-d??clar??","Student"
"6538","France","User_6538","46+","Homme","Premium"
"6544","France","User_6544","36-45","Non-d??clar??","Student"
"6550","France","User_6550","18-25","Non-d??clar??","Free"
"6561","France","User_6561","18-25","Non-d??clar??","Free"
"6563","France","User_6563","46+","Homme","Premium"
"6565","France","User_6565","46+","Femme","Free"
"6572","France","User_6572","26-35","Femme","Premium"
"6573","France","User_6573","18-25","Femme","Student"
"6578","France","User_6578","46+","Non-d??clar??","Student"
"6579","France","User_6579","36-45","Homme","Premium"
"6580","France","User_6580","26-35","Homme","Free"
"6585","France","User_6585","46+","Non-d??clar??","Premium"
"6598","France","User_6598","18-25","Femme","Student"
"6605","France","User_6605","18-25","Non-d??clar??","Premium"
"6612","France","User_6612","18-25","Non-d??clar??","Free"
"6615","France","User_6615","46+","Non-d??clar??","Premium"
"6619","France","User_6619","36-45","Homme","Premium"
"6620","France","User_6620","26-35","Non-d??clar??","Free"
"6622","France","User_6622","36-45","Non-d??clar??","Premium"
"6624","France","User_6624","18-25","Homme","Student"
"6629","France","User_6629","46+","Femme","Premium"
"6632","France","User_6632","46+","Homme","Student"
"6635","France","User_6635","36-45","Non-d??clar??","Free"
"6637","France","User_6637","18-25","Non-d??clar??","Free"
"6646","France","User_6646","26-35","Femme","Premium"
"6647","France","User_6647","36-45","Homme","Free"
"6655","France","User_6655","18-25","Femme","Student"
"6658","France","User_6658","18-25","Non-d??clar??","Student"
"6660","France","User_6660","36-45","Homme","Premium"
"6662","France","User_6662","36-45","Homme","Premium"
"6664","France","User_6664","18-25","Homme","Premium"
"6665","France","User_6665","46+","Homme","Student"
"6666","France","User_6666","46+","Non-d??clar??","Student"
"6669","France","User_6669","18-25","Non-d??clar??","Student"
"6675","France","User_6675","36-45","Homme","Free"
"6680","France","User_6680","26-35","Non-d??clar??","Student"
"6682","France","User_6682","46+","Non-d??clar??","Free"
"6685","France","User_6685","46+","Femme","Premium"
"6693","France","User_6693","46+","Femme","Student"
"6699","France","User_6699","18-25","Femme","Premium"
"6700","France","User_6700","36-45","Non-d??clar??","Premium"
"6703","France","User_6703","36-45","Non-d??clar??","Student"
"6707","France","User_6707","26-35","Homme","Premium"
"6715","France","User_6715","36-45","Non-d??clar??","Student"
"6733","France","User_6733","18-25","Femme","Free"
"6739","France","User_6739","36-45","Femme","Student"
"6740","France","User_6740","36-45","Femme","Student"
"6741","France","User_6741","36-45","Femme","Free"
"6750","France","User_6750","18-25","Non-d??clar??","Free"
"6754","France","User_6754","46+","Homme","Free"
"6757","France","User_6757","18-25","Femme","Free"
"6759","France","User_6759","36-45","Non-d??clar??","Student"
"6760","France","User_6760","36-45","Non-d??clar??","Premium"
"6761","France","User_6761","46+","Homme","Student"
"6765","France","User_6765","36-45","Homme","Premium"
"6766","France","User_6766","18-25","Femme","Student"
"6770","France","User_6770","46+","Femme","Student"
"6771","France","User_6771","36-45","Non-d??clar??","Premium"
"6772","France","User_6772","36-45","Non-d??clar??","Student"
"6773","France","User_6773","36-45","Femme","Premium"
"6790","France","User_6790","36-45","Femme","Free"
"6795","France","User_6795","46+","Femme","Student"
"6797","France","User_6797","36-45","Non-d??clar??","Free"
"6803","France","User_6803","46+","Femme","Free"
"6804","France","User_6804","36-45","Femme","Free"
"6815","France","User_6815","18-25","Non-d??clar??","Premium"
"6819","France","User_6819","26-35","Non-d??clar??","Free"
"6821","France","User_6821","26-35","Femme","Student"
"6822","France","User_6822","36-45","Non-d??clar??","Premium"
"6832","France","User_6832","26-35","Homme","Premium"
"6842","France","User_6842","46+","Homme","Free"
"6844","France","User_6844","46+","Non-d??clar??","Free"
"6848","France","User_6848","36-45","Homme","Student"
"6849","France","User_6849","46+","Non-d??clar??","Premium"
"6851","France","User_6851","26-35","Femme","Student"
"6855","France","User_6855","26-35","Non-d??clar??","Free"
"6857","France","User_6857","18-25","Non-d??clar??","Free"
"6870","France","User_6870","26-35","Non-d??clar??","Premium"
"6871","France","User_6871","18-25","Homme","Free"
"6873","France","User_6873","46+","Femme","Student"
"6880","France","User_6880","46+","Femme","Premium"
"6888","France","User_6888","18-25","Femme","Free"
"6890","France","User_6890","18-25","Homme","Free"
"6902","France","User_6902","26-35","Homme","Free"
"6903","France","User_6903","18-25","Non-d??clar??","Premium"
"6904","France","User_6904","26-35","Non-d??clar??","Free"
"6906","France","User_6906","36-45","Femme","Student"
"6909","France","User_6909","36-45","Non-d??clar??","Premium"
"6912","France","User_6912","26-35","Non-d??clar??","Free"
"6915","France","User_6915","46+","Non-d??clar??","Premium"
"6916","France","User_6916","18-25","Femme","Free"
"6926","France","User_6926","18-25","Non-d??clar??","Free"
"6930","France","User_6930","26-35","Femme","Student"
"6940","France","User_6940","26-35","Non-d??clar??","Student"
"6944","France","User_6944","18-25","Homme","Free"
"6950","France","User_6950","46+","Non-d??clar??","Student"
"6955","France","User_6955","36-45","Femme","Student"
"6956","France","User_6956","18-25","Femme","Premium"
"6959","France","User_6959","46+","Homme","Premium"
"6960","France","User_6960","36-45","Non-d??clar??","Premium"
"6970","France","User_6970","36-45","Homme","Student"
"6974","France","User_6974","18-25","Femme","Student"
"6981","France","User_6981","18-25","Femme","Premium"
"6982","France","User_6982","18-25","Non-d??clar??","Free"
"6983","France","User_6983","26-35","Non-d??clar??","Student"
"6985","France","User_6985","26-35","Femme","Free"
"6989","France","User_6989","18-25","Non-d??clar??","Free"
"6991","France","User_6991","26-35","Non-d??clar??","Premium"
"6992","France","User_6992","26-35","Homme","Student"
"6994","France","User_6994","36-45","Non-d??clar??","Student"
"7000","France","User_7000","46+","Homme","Free"
"7004","France","User_7004","26-35","Femme","Premium"
"7007","France","User_7007","46+","Homme","Free"
"7010","France","User_7010","36-45","Non-d??clar??","Student"
"7011","France","User_7011","26-35","Non-d??clar??","Premium"
"7014","France","User_7014","36-45","Homme","Premium"
"7017","France","User_7017","46+","Homme","Premium"
"7019","France","User_7019","36-45","Non-d??clar??","Student"
"7023","France","User_7023","36-45","Homme","Free"
"7024","France","User_7024","26-35","Non-d??clar??","Premium"
"7026","France","User_7026","36-45","Non-d??clar??","Free"
"7028","France","User_7028","36-45","Femme","Free"
"7032","France","User_7032","46+","Femme","Student"
"7034","France","User_7034","26-35","Non-d??clar??","Free"
"7037","France","User_7037","26-35","Femme","Student"
"7040","France","User_7040","46+","Non-d??clar??","Premium"
"7047","France","User_7047","18-25","Femme","Premium"
"7050","France","User_7050","36-45","Femme","Student"
"7051","France","User_7051","36-45","Femme","Premium"
"7054","France","User_7054","18-25","Non-d??clar??","Free"
"7057","France","User_7057","36-45","Femme","Premium"
"7059","France","User_7059","46+","Femme","Free"
"7063","France","User_7063","26-35","Homme","Free"
"7064","France","User_7064","26-35","Non-d??clar??","Premium"
"7084","France","User_7084","26-35","Homme","Free"
"7086","France","User_7086","46+","Femme","Student"
"7090","France","User_7090","18-25","Non-d??clar??","Free"
"7091","France","User_7091","36-45","Homme","Premium"
"7092","France","User_7092","46+","Femme","Premium"
"7097","France","User_7097","36-45","Non-d??clar??","Free"
"7103","France","User_7103","46+","Femme","Student"
"7105","France","User_7105","18-25","Homme","Premium"
"7109","France","User_7109","46+","Femme","Student"
"7113","France","User_7113","18-25","Homme","Student"
"7117","France","User_7117","26-35","Non-d??clar??","Free"
"7124","France","User_7124","46+","Femme","Student"
"7125","France","User_7125","26-35","Non-d??clar??","Premium"
"7130","France","User_7130","36-45","Non-d??clar??","Premium"
"7134","France","User_7134","36-45","Femme","Student"
"7135","France","User_7135","36-45","Femme","Premium"
"7139","France","User_7139","46+","Homme","Student"
"7140","France","User_7140","26-35","Femme","Premium"
"7142","France","User_7142","26-35","Homme","Student"
"7146","France","User_7146","26-35","Non-d??clar??","Free"
"7155","France","User_7155","26-35","Femme","Free"
"7163","France","User_7163","18-25","Femme","Student"
"7165","France","User_7165","18-25","Femme","Premium"
"7168","France","User_7168","26-35","Homme","Student"
"7169","France","User_7169","36-45","Femme","Student"
"7170","France","User_7170","46+","Non-d??clar??","Student"
"7172","France","User_7172","36-45","Non-d??clar??","Student"
"7176","France","User_7176","36-45","Femme","Free"
"7177","France","User_7177","36-45","Non-d??clar??","Premium"
"7180","France","User_7180","26-35","Homme","Free"
"7181","France","User_7181","26-35","Non-d??clar??","Premium"
"7182","France","User_7182","36-45","Non-d??clar??","Free"
"7186","France","User_7186","46+","Femme","Student"
"7194","France","User_7194","46+","Non-d??clar??","Student"
"7198","France","User_7198","46+","Femme","Student"
"7211","France","User_7211","36-45","Homme","Premium"
"7212","France","User_7212","46+","Non-d??clar??","Premium"
"7214","France","User_7214","36-45","Non-d??clar??","Premium"
"7216","France","User_7216","46+","Homme","Premium"
"7221","France","User_7221","36-45","Femme","Free"
"7222","France","User_7222","18-25","Homme","Free"
"7224","France","User_7224","18-25","Homme","Student"
"7225","France","User_7225","18-25","Femme","Premium"
"7228","France","User_7228","46+","Non-d??clar??","Student"
"7231","France","User_7231","36-45","Femme","Premium"
"7232","France","User_7232","36-45","Homme","Student"
"7234","France","User_7234","36-45","Femme","Student"
"7235","France","User_7235","18-25","Homme","Student"
"7239","France","User_7239","36-45","Homme","Premium"
"7243","France","User_7243","26-35","Homme","Premium"
"7250","France","User_7250","18-25","Homme","Student"
"7252","France","User_7252","18-25","Homme","Premium"
"7254","France","User_7254","36-45","Non-d??clar??","Premium"
"7261","France","User_7261","46+","Femme","Premium"
"7262","France","User_7262","46+","Femme","Free"
"7269","France","User_7269","18-25","Homme","Premium"
"7271","France","User_7271","18-25","Femme","Student"
"7275","France","User_7275","18-25","Femme","Free"
"7278","France","User_7278","36-45","Non-d??clar??","Free"
"7279","France","User_7279","36-45","Femme","Premium"
"7283","France","User_7283","18-25","Homme","Free"
