,,,,,,,,
,,,,,,,,
ID_REGION,NOM_REGION,CODE_REGION_ISO3166_2,NOM_PAYS,CODE_PAYS_ISO3166_1,FUSEAU_HORAIRE,CONTINENT,LANGUE_PRINCIPALE,DEVISE_MONETAIRE
490,Region_490,ISO_490,France,FRA,GMT+4,Am??riques,Fran??ais,EUR
491,Region_491,ISO_491,Allemagne,DEU,GMT+3,Asie,Allemand,USD
492,Region_492,ISO_492,Espagne,ESP,GMT+9,Europe,Espagnol,BRL
493,Region_493,ISO_493,??tats-Unis,USA,GMT+8,Am??riques,Anglais,BRL
494,Region_494,ISO_494,Br??sil,BRA,GMT+2,Asie,Portugais,BRL
495,Region_495,ISO_495,France,FRA,GMT+2,Europe,Fran??ais,EUR
496,Region_496,ISO_496,Allemagne,DEU,GMT+9,Am??riques,Allemand,USD
497,Region_497,ISO_497,Espagne,ESP,GMT+11,Asie,Espagnol,BRL
498,Region_498,ISO_498,??tats-Unis,USA,GMT+4,Europe,Anglais,BRL
499,Region_499,ISO_499,Br??sil,BRA,GMT+4,Am??riques,Portugais,BRL
500,Region_500,ISO_500,France,FRA,GMT+9,Asie,Fran??ais,EUR
501,Region_501,ISO_501,Allemagne,DEU,GMT+11,Europe,Allemand,USD
502,Region_502,ISO_502,Espagne,ESP,GMT+6,Am??riques,Espagnol,BRL
503,Region_503,ISO_503,??tats-Unis,USA,GMT+1,Asie,Anglais,BRL
504,Region_504,ISO_504,Br??sil,BRA,GMT+5,Europe,Portugais,BRL
505,Region_505,ISO_505,France,FRA,GMT+8,Am??riques,Fran??ais,EUR
506,Region_506,ISO_506,Allemagne,DEU,GMT+6,Asie,Allemand,USD
507,Region_507,ISO_507,Espagne,ESP,GMT+10,Europe,Espagnol,BRL
508,Region_508,ISO_508,??tats-Unis,USA,GMT+1,Am??riques,Anglais,BRL
509,Region_509,ISO_509,Br??sil,BRA,GMT+8,Asie,Portugais,BRL
510,Region_510,ISO_510,France,FRA,GMT+4,Europe,Fran??ais,EUR
511,Region_511,ISO_511,Allemagne,DEU,GMT+2,Am??riques,Allemand,USD
512,Region_512,ISO_512,Espagne,ESP,GMT+9,Asie,Espagnol,BRL
513,Region_513,ISO_513,??tats-Unis,USA,GMT+4,Europe,Anglais,BRL
514,Region_514,ISO_514,Br??sil,BRA,GMT+2,Am??riques,Portugais,BRL
515,Region_515,ISO_515,France,FRA,GMT+9,Asie,Fran??ais,EUR
516,Region_516,ISO_516,Allemagne,DEU,GMT+11,Europe,Allemand,USD
517,Region_517,ISO_517,Espagne,ESP,GMT+9,Am??riques,Espagnol,BRL
518,Region_518,ISO_518,??tats-Unis,USA,GMT+1,Asie,Anglais,BRL
519,Region_519,ISO_519,Br??sil,BRA,GMT+10,Europe,Portugais,BRL
520,Region_520,ISO_520,France,FRA,GMT+11,Am??riques,Fran??ais,EUR
521,Region_521,ISO_521,Allemagne,DEU,GMT+2,Asie,Allemand,USD
522,Region_522,ISO_522,Espagne,ESP,GMT+3,Europe,Espagnol,BRL
523,Region_523,ISO_523,??tats-Unis,USA,GMT+7,Am??riques,Anglais,BRL
524,Region_524,ISO_524,Br??sil,BRA,GMT+2,Asie,Portugais,BRL
525,Region_525,ISO_525,France,FRA,GMT+2,Europe,Fran??ais,EUR
526,Region_526,ISO_526,Allemagne,DEU,GMT+9,Am??riques,Allemand,USD
527,Region_527,ISO_527,Espagne,ESP,GMT+9,Asie,Espagnol,BRL
528,Region_528,ISO_528,??tats-Unis,USA,GMT+3,Europe,Anglais,BRL
529,Region_529,ISO_529,Br??sil,BRA,GMT+8,Am??riques,Portugais,BRL
530,Region_530,ISO_530,France,FRA,GMT+4,Asie,Fran??ais,EUR
531,Region_531,ISO_531,Allemagne,DEU,GMT+5,Europe,Allemand,USD
532,Region_532,ISO_532,Espagne,ESP,GMT+10,Am??riques,Espagnol,BRL
533,Region_533,ISO_533,??tats-Unis,USA,GMT+9,Asie,Anglais,BRL
534,Region_534,ISO_534,Br??sil,BRA,GMT+7,Europe,Portugais,BRL
535,Region_535,ISO_535,France,FRA,GMT+5,Am??riques,Fran??ais,EUR
1,Region_1,ISO_1,Allemagne,DEU,GMT+5,Am??riques,Allemand,USD
2,Region_2,ISO_2,Espagne,ESP,GMT+2,Asie,Espagnol,BRL
3,Region_3,ISO_3,??tats-Unis,USA,GMT+10,Europe,Anglais,BRL
4,Region_4,ISO_4,Br??sil,BRA,GMT+5,Am??riques,Portugais,BRL
5,Region_5,ISO_5,France,FRA,GMT+5,Asie,Fran??ais,EUR
6,Region_6,ISO_6,Allemagne,DEU,GMT+2,Europe,Allemand,USD
7,Region_7,ISO_7,Espagne,ESP,GMT+2,Am??riques,Espagnol,BRL
8,Region_8,ISO_8,??tats-Unis,USA,GMT+3,Asie,Anglais,BRL
9,Region_9,ISO_9,Br??sil,BRA,GMT+7,Europe,Portugais,BRL
10,Region_10,ISO_10,France,FRA,GMT+5,Am??riques,Fran??ais,EUR
11,Region_11,ISO_11,Allemagne,DEU,GMT+7,Asie,Allemand,USD
12,Region_12,ISO_12,Espagne,ESP,GMT+11,Europe,Espagnol,BRL
13,Region_13,ISO_13,??tats-Unis,USA,GMT+1,Am??riques,Anglais,BRL
14,Region_14,ISO_14,Br??sil,BRA,GMT+3,Asie,Portugais,BRL
15,Region_15,ISO_15,France,FRA,GMT+1,Europe,Fran??ais,EUR
16,Region_16,ISO_16,Allemagne,DEU,GMT+3,Am??riques,Allemand,USD
17,Region_17,ISO_17,Espagne,ESP,GMT+9,Asie,Espagnol,BRL
18,Region_18,ISO_18,??tats-Unis,USA,GMT+11,Europe,Anglais,BRL
19,Region_19,ISO_19,Br??sil,BRA,GMT+9,Am??riques,Portugais,BRL
20,Region_20,ISO_20,France,FRA,GMT+11,Asie,Fran??ais,EUR
21,Region_21,ISO_21,Allemagne,DEU,GMT+6,Europe,Allemand,USD
22,Region_22,ISO_22,Espagne,ESP,GMT+1,Am??riques,Espagnol,BRL
23,Region_23,ISO_23,??tats-Unis,USA,GMT+7,Asie,Anglais,BRL
24,Region_24,ISO_24,Br??sil,BRA,GMT+1,Europe,Portugais,BRL
25,Region_25,ISO_25,France,FRA,GMT+5,Am??riques,Fran??ais,EUR
26,Region_26,ISO_26,Allemagne,DEU,GMT+8,Asie,Allemand,USD
27,Region_27,ISO_27,Espagne,ESP,GMT+6,Europe,Espagnol,BRL
28,Region_28,ISO_28,??tats-Unis,USA,GMT+6,Am??riques,Anglais,BRL
29,Region_29,ISO_29,Br??sil,BRA,GMT+10,Asie,Portugais,BRL
30,Region_30,ISO_30,France,FRA,GMT+5,Europe,Fran??ais,EUR
31,Region_31,ISO_31,Allemagne,DEU,GMT+4,Am??riques,Allemand,USD
32,Region_32,ISO_32,Espagne,ESP,GMT+7,Asie,Espagnol,BRL
33,Region_33,ISO_33,??tats-Unis,USA,GMT+6,Europe,Anglais,BRL
34,Region_34,ISO_34,Br??sil,BRA,GMT+8,Am??riques,Portugais,BRL
35,Region_35,ISO_35,France,FRA,GMT+1,Asie,Fran??ais,EUR
36,Region_36,ISO_36,Allemagne,DEU,GMT+7,Europe,Allemand,USD
37,Region_37,ISO_37,Espagne,ESP,GMT+2,Am??riques,Espagnol,BRL
38,Region_38,ISO_38,??tats-Unis,USA,GMT+3,Asie,Anglais,BRL
39,Region_39,ISO_39,Br??sil,BRA,GMT+9,Europe,Portugais,BRL
40,Region_40,ISO_40,France,FRA,GMT+6,Am??riques,Fran??ais,EUR
41,Region_41,ISO_41,Allemagne,DEU,GMT+5,Asie,Allemand,USD
42,Region_42,ISO_42,Espagne,ESP,GMT+5,Europe,Espagnol,BRL
43,Region_43,ISO_43,??tats-Unis,USA,GMT+3,Am??riques,Anglais,BRL
44,Region_44,ISO_44,Br??sil,BRA,GMT+1,Asie,Portugais,BRL
45,Region_45,ISO_45,France,FRA,GMT+5,Europe,Fran??ais,EUR
46,Region_46,ISO_46,Allemagne,DEU,GMT+9,Am??riques,Allemand,USD
47,Region_47,ISO_47,Espagne,ESP,GMT+3,Asie,Espagnol,BRL
48,Region_48,ISO_48,??tats-Unis,USA,GMT+3,Europe,Anglais,BRL
49,Region_49,ISO_49,Br??sil,BRA,GMT+4,Am??riques,Portugais,BRL
50,Region_50,ISO_50,France,FRA,GMT+2,Asie,Fran??ais,EUR
51,Region_51,ISO_51,Allemagne,DEU,GMT+7,Europe,Allemand,USD
52,Region_52,ISO_52,Espagne,ESP,GMT+3,Am??riques,Espagnol,BRL
53,Region_53,ISO_53,??tats-Unis,USA,GMT+4,Asie,Anglais,BRL
54,Region_54,ISO_54,Br??sil,BRA,GMT+7,Europe,Portugais,BRL
55,Region_55,ISO_55,France,FRA,GMT+2,Am??riques,Fran??ais,EUR
56,Region_56,ISO_56,Allemagne,DEU,GMT+9,Asie,Allemand,USD
57,Region_57,ISO_57,Espagne,ESP,GMT+10,Europe,Espagnol,BRL
58,Region_58,ISO_58,??tats-Unis,USA,GMT+4,Am??riques,Anglais,BRL
59,Region_59,ISO_59,Br??sil,BRA,GMT+10,Asie,Portugais,BRL
60,Region_60,ISO_60,France,FRA,GMT+3,Europe,Fran??ais,EUR
61,Region_61,ISO_61,Allemagne,DEU,GMT+7,Am??riques,Allemand,USD
62,Region_62,ISO_62,Espagne,ESP,GMT+6,Asie,Espagnol,BRL
63,Region_63,ISO_63,??tats-Unis,USA,GMT+9,Europe,Anglais,BRL
64,Region_64,ISO_64,Br??sil,BRA,GMT+1,Am??riques,Portugais,BRL
65,Region_65,ISO_65,France,FRA,GMT+1,Asie,Fran??ais,EUR
66,Region_66,ISO_66,Allemagne,DEU,GMT+8,Europe,Allemand,USD
67,Region_67,ISO_67,Espagne,ESP,GMT+6,Am??riques,Espagnol,BRL
68,Region_68,ISO_68,??tats-Unis,USA,GMT+3,Asie,Anglais,BRL
69,Region_69,ISO_69,Br??sil,BRA,GMT+6,Europe,Portugais,BRL
70,Region_70,ISO_70,France,FRA,GMT+9,Am??riques,Fran??ais,EUR
71,Region_71,ISO_71,Allemagne,DEU,GMT+8,Asie,Allemand,USD
72,Region_72,ISO_72,Espagne,ESP,GMT+2,Europe,Espagnol,BRL
73,Region_73,ISO_73,??tats-Unis,USA,GMT+5,Am??riques,Anglais,BRL
74,Region_74,ISO_74,Br??sil,BRA,GMT+11,Asie,Portugais,BRL
75,Region_75,ISO_75,France,FRA,GMT+1,Europe,Fran??ais,EUR
76,Region_76,ISO_76,Allemagne,DEU,GMT+11,Am??riques,Allemand,USD
77,Region_77,ISO_77,Espagne,ESP,GMT+9,Asie,Espagnol,BRL
78,Region_78,ISO_78,??tats-Unis,USA,GMT+9,Europe,Anglais,BRL
79,Region_79,ISO_79,Br??sil,BRA,GMT+3,Am??riques,Portugais,BRL
80,Region_80,ISO_80,France,FRA,GMT+9,Asie,Fran??ais,EUR
81,Region_81,ISO_81,Allemagne,DEU,GMT+10,Europe,Allemand,USD
82,Region_82,ISO_82,Espagne,ESP,GMT+2,Am??riques,Espagnol,BRL
83,Region_83,ISO_83,??tats-Unis,USA,GMT+9,Asie,Anglais,BRL
84,Region_84,ISO_84,Br??sil,BRA,GMT+3,Europe,Portugais,BRL
85,Region_85,ISO_85,France,FRA,GMT+1,Am??riques,Fran??ais,EUR
86,Region_86,ISO_86,Allemagne,DEU,GMT+6,Asie,Allemand,USD
87,Region_87,ISO_87,Espagne,ESP,GMT+5,Europe,Espagnol,BRL
88,Region_88,ISO_88,??tats-Unis,USA,GMT+4,Am??riques,Anglais,BRL
89,Region_89,ISO_89,Br??sil,BRA,GMT+11,Asie,Portugais,BRL
90,Region_90,ISO_90,France,FRA,GMT+11,Europe,Fran??ais,EUR
91,Region_91,ISO_91,Allemagne,DEU,GMT+9,Am??riques,Allemand,USD
92,Region_92,ISO_92,Espagne,ESP,GMT+9,Asie,Espagnol,BRL
93,Region_93,ISO_93,??tats-Unis,USA,GMT+9,Europe,Anglais,BRL
94,Region_94,ISO_94,Br??sil,BRA,GMT+7,Am??riques,Portugais,BRL
95,Region_95,ISO_95,France,FRA,GMT+7,Asie,Fran??ais,EUR
96,Region_96,ISO_96,Allemagne,DEU,GMT+5,Europe,Allemand,USD
97,Region_97,ISO_97,Espagne,ESP,GMT+1,Am??riques,Espagnol,BRL
98,Region_98,ISO_98,??tats-Unis,USA,GMT+9,Asie,Anglais,BRL
99,Region_99,ISO_99,Br??sil,BRA,GMT+3,Europe,Portugais,BRL
100,Region_100,ISO_100,France,FRA,GMT+10,Am??riques,Fran??ais,EUR
101,Region_101,ISO_101,Allemagne,DEU,GMT+6,Asie,Allemand,USD
102,Region_102,ISO_102,Espagne,ESP,GMT+11,Europe,Espagnol,BRL
103,Region_103,ISO_103,??tats-Unis,USA,GMT+4,Am??riques,Anglais,BRL
104,Region_104,ISO_104,Br??sil,BRA,GMT+9,Asie,Portugais,BRL
105,Region_105,ISO_105,France,FRA,GMT+2,Europe,Fran??ais,EUR
106,Region_106,ISO_106,Allemagne,DEU,GMT+7,Am??riques,Allemand,USD
107,Region_107,ISO_107,Espagne,ESP,GMT+2,Asie,Espagnol,BRL
108,Region_108,ISO_108,??tats-Unis,USA,GMT+2,Europe,Anglais,BRL
109,Region_109,ISO_109,Br??sil,BRA,GMT+5,Am??riques,Portugais,BRL
110,Region_110,ISO_110,France,FRA,GMT+4,Asie,Fran??ais,EUR
111,Region_111,ISO_111,Allemagne,DEU,GMT+6,Europe,Allemand,USD
112,Region_112,ISO_112,Espagne,ESP,GMT+8,Am??riques,Espagnol,BRL
113,Region_113,ISO_113,??tats-Unis,USA,GMT+5,Asie,Anglais,BRL
114,Region_114,ISO_114,Br??sil,BRA,GMT+7,Europe,Portugais,BRL
115,Region_115,ISO_115,France,FRA,GMT+6,Am??riques,Fran??ais,EUR
116,Region_116,ISO_116,Allemagne,DEU,GMT+8,Asie,Allemand,USD
117,Region_117,ISO_117,Espagne,ESP,GMT+11,Europe,Espagnol,BRL
118,Region_118,ISO_118,??tats-Unis,USA,GMT+3,Am??riques,Anglais,BRL
119,Region_119,ISO_119,Br??sil,BRA,GMT+5,Asie,Portugais,BRL
120,Region_120,ISO_120,France,FRA,GMT+1,Europe,Fran??ais,EUR
121,Region_121,ISO_121,Allemagne,DEU,GMT+7,Am??riques,Allemand,USD
122,Region_122,ISO_122,Espagne,ESP,GMT+4,Asie,Espagnol,BRL
123,Region_123,ISO_123,??tats-Unis,USA,GMT+11,Europe,Anglais,BRL
124,Region_124,ISO_124,Br??sil,BRA,GMT+3,Am??riques,Portugais,BRL
125,Region_125,ISO_125,France,FRA,GMT+5,Asie,Fran??ais,EUR
126,Region_126,ISO_126,Allemagne,DEU,GMT+4,Europe,Allemand,USD
127,Region_127,ISO_127,Espagne,ESP,GMT+6,Am??riques,Espagnol,BRL
128,Region_128,ISO_128,??tats-Unis,USA,GMT+6,Asie,Anglais,BRL
129,Region_129,ISO_129,Br??sil,BRA,GMT+8,Europe,Portugais,BRL
130,Region_130,ISO_130,France,FRA,GMT+3,Am??riques,Fran??ais,EUR
131,Region_131,ISO_131,Allemagne,DEU,GMT+9,Asie,Allemand,USD
132,Region_132,ISO_132,Espagne,ESP,GMT+4,Europe,Espagnol,BRL
133,Region_133,ISO_133,??tats-Unis,USA,GMT+9,Am??riques,Anglais,BRL
134,Region_134,ISO_134,Br??sil,BRA,GMT+7,Asie,Portugais,BRL
135,Region_135,ISO_135,France,FRA,GMT+6,Europe,Fran??ais,EUR
136,Region_136,ISO_136,Allemagne,DEU,GMT+1,Am??riques,Allemand,USD
137,Region_137,ISO_137,Espagne,ESP,GMT+8,Asie,Espagnol,BRL
138,Region_138,ISO_138,??tats-Unis,USA,GMT+10,Europe,Anglais,BRL
139,Region_139,ISO_139,Br??sil,BRA,GMT+4,Am??riques,Portugais,BRL
140,Region_140,ISO_140,France,FRA,GMT+6,Asie,Fran??ais,EUR
141,Region_141,ISO_141,Allemagne,DEU,GMT+9,Europe,Allemand,USD
142,Region_142,ISO_142,Espagne,ESP,GMT+11,Am??riques,Espagnol,BRL
143,Region_143,ISO_143,??tats-Unis,USA,GMT+11,Asie,Anglais,BRL
144,Region_144,ISO_144,Br??sil,BRA,GMT+5,Europe,Portugais,BRL
145,Region_145,ISO_145,France,FRA,GMT+7,Am??riques,Fran??ais,EUR
146,Region_146,ISO_146,Allemagne,DEU,GMT+4,Asie,Allemand,USD
147,Region_147,ISO_147,Espagne,ESP,GMT+5,Europe,Espagnol,BRL
148,Region_148,ISO_148,??tats-Unis,USA,GMT+8,Am??riques,Anglais,BRL
149,Region_149,ISO_149,Br??sil,BRA,GMT+10,Asie,Portugais,BRL
150,Region_150,ISO_150,France,FRA,GMT+11,Europe,Fran??ais,EUR
151,Region_151,ISO_151,Allemagne,DEU,GMT+5,Am??riques,Allemand,USD
152,Region_152,ISO_152,Espagne,ESP,GMT+8,Asie,Espagnol,BRL
153,Region_153,ISO_153,??tats-Unis,USA,GMT+1,Europe,Anglais,BRL
154,Region_154,ISO_154,Br??sil,BRA,GMT+3,Am??riques,Portugais,BRL
155,Region_155,ISO_155,France,FRA,GMT+2,Asie,Fran??ais,EUR
156,Region_156,ISO_156,Allemagne,DEU,GMT+11,Europe,Allemand,USD
157,Region_157,ISO_157,Espagne,ESP,GMT+3,Am??riques,Espagnol,BRL
158,Region_158,ISO_158,??tats-Unis,USA,GMT+10,Asie,Anglais,BRL
159,Region_159,ISO_159,Br??sil,BRA,GMT+3,Europe,Portugais,BRL
160,Region_160,ISO_160,France,FRA,GMT+10,Am??riques,Fran??ais,EUR
161,Region_161,ISO_161,Allemagne,DEU,GMT+10,Asie,Allemand,USD
162,Region_162,ISO_162,Espagne,ESP,GMT+11,Europe,Espagnol,BRL
163,Region_163,ISO_163,??tats-Unis,USA,GMT+5,Am??riques,Anglais,BRL
164,Region_164,ISO_164,Br??sil,BRA,GMT+2,Asie,Portugais,BRL
165,Region_165,ISO_165,France,FRA,GMT+10,Europe,Fran??ais,EUR
166,Region_166,ISO_166,Allemagne,DEU,GMT+1,Am??riques,Allemand,USD
167,Region_167,ISO_167,Espagne,ESP,GMT+8,Asie,Espagnol,BRL
168,Region_168,ISO_168,??tats-Unis,USA,GMT+2,Europe,Anglais,BRL
169,Region_169,ISO_169,Br??sil,BRA,GMT+6,Am??riques,Portugais,BRL
170,Region_170,ISO_170,France,FRA,GMT+9,Asie,Fran??ais,EUR
171,Region_171,ISO_171,Allemagne,DEU,GMT+2,Europe,Allemand,USD
172,Region_172,ISO_172,Espagne,ESP,GMT+9,Am??riques,Espagnol,BRL
173,Region_173,ISO_173,??tats-Unis,USA,GMT+2,Asie,Anglais,BRL
174,Region_174,ISO_174,Br??sil,BRA,GMT+4,Europe,Portugais,BRL
175,Region_175,ISO_175,France,FRA,GMT+5,Am??riques,Fran??ais,EUR
176,Region_176,ISO_176,Allemagne,DEU,GMT+2,Asie,Allemand,USD
177,Region_177,ISO_177,Espagne,ESP,GMT+7,Europe,Espagnol,BRL
178,Region_178,ISO_178,??tats-Unis,USA,GMT+5,Am??riques,Anglais,BRL
179,Region_179,ISO_179,Br??sil,BRA,GMT+11,Asie,Portugais,BRL
180,Region_180,ISO_180,France,FRA,GMT+3,Europe,Fran??ais,EUR
181,Region_181,ISO_181,Allemagne,DEU,GMT+3,Am??riques,Allemand,USD
182,Region_182,ISO_182,Espagne,ESP,GMT+11,Asie,Espagnol,BRL
183,Region_183,ISO_183,??tats-Unis,USA,GMT+2,Europe,Anglais,BRL
184,Region_184,ISO_184,Br??sil,BRA,GMT+9,Am??riques,Portugais,BRL
185,Region_185,ISO_185,France,FRA,GMT+5,Asie,Fran??ais,EUR
186,Region_186,ISO_186,Allemagne,DEU,GMT+11,Europe,Allemand,USD
187,Region_187,ISO_187,Espagne,ESP,GMT+4,Am??riques,Espagnol,BRL
188,Region_188,ISO_188,??tats-Unis,USA,GMT+11,Asie,Anglais,BRL
189,Region_189,ISO_189,Br??sil,BRA,GMT+5,Europe,Portugais,BRL
190,Region_190,ISO_190,France,FRA,GMT+8,Am??riques,Fran??ais,EUR
191,Region_191,ISO_191,Allemagne,DEU,GMT+10,Asie,Allemand,USD
192,Region_192,ISO_192,Espagne,ESP,GMT+7,Europe,Espagnol,BRL
193,Region_193,ISO_193,??tats-Unis,USA,GMT+10,Am??riques,Anglais,BRL
194,Region_194,ISO_194,Br??sil,BRA,GMT+9,Asie,Portugais,BRL
195,Region_195,ISO_195,France,FRA,GMT+7,Europe,Fran??ais,EUR
196,Region_196,ISO_196,Allemagne,DEU,GMT+8,Am??riques,Allemand,USD
197,Region_197,ISO_197,Espagne,ESP,GMT+11,Asie,Espagnol,BRL
198,Region_198,ISO_198,??tats-Unis,USA,GMT+8,Europe,Anglais,BRL
199,Region_199,ISO_199,Br??sil,BRA,GMT+6,Am??riques,Portugais,BRL
200,Region_200,ISO_200,France,FRA,GMT+1,Asie,Fran??ais,EUR
201,Region_201,ISO_201,Allemagne,DEU,GMT+2,Europe,Allemand,USD
202,Region_202,ISO_202,Espagne,ESP,GMT+6,Am??riques,Espagnol,BRL
203,Region_203,ISO_203,??tats-Unis,USA,GMT+6,Asie,Anglais,BRL
204,Region_204,ISO_204,Br??sil,BRA,GMT+11,Europe,Portugais,BRL
205,Region_205,ISO_205,France,FRA,GMT+4,Am??riques,Fran??ais,EUR
206,Region_206,ISO_206,Allemagne,DEU,GMT+10,Asie,Allemand,USD
207,Region_207,ISO_207,Espagne,ESP,GMT+10,Europe,Espagnol,BRL
208,Region_208,ISO_208,??tats-Unis,USA,GMT+8,Am??riques,Anglais,BRL
209,Region_209,ISO_209,Br??sil,BRA,GMT+7,Asie,Portugais,BRL
210,Region_210,ISO_210,France,FRA,GMT+1,Europe,Fran??ais,EUR
211,Region_211,ISO_211,Allemagne,DEU,GMT+3,Am??riques,Allemand,USD
212,Region_212,ISO_212,Espagne,ESP,GMT+6,Asie,Espagnol,BRL
213,Region_213,ISO_213,??tats-Unis,USA,GMT+10,Europe,Anglais,BRL
214,Region_214,ISO_214,Br??sil,BRA,GMT+4,Am??riques,Portugais,BRL
215,Region_215,ISO_215,France,FRA,GMT+8,Asie,Fran??ais,EUR
216,Region_216,ISO_216,Allemagne,DEU,GMT+4,Europe,Allemand,USD
217,Region_217,ISO_217,Espagne,ESP,GMT+10,Am??riques,Espagnol,BRL
218,Region_218,ISO_218,??tats-Unis,USA,GMT+8,Asie,Anglais,BRL
219,Region_219,ISO_219,Br??sil,BRA,GMT+2,Europe,Portugais,BRL
