,,,,,,,,,,
,,,,,,,,,,
ID_OFFRE,NOM_OFFRE,TYPE_OFFRE,PRIX_MENSUEL_EUR,LIMITE_COMPTES,DUREE_ECOUTE_LIVRE_AUDIO,FLAG_SPOTIFY_KIDS,FLAG_PUBLICITE,FLAG_MUSIQUE_HORS_CONNEXION,FLAG_AUDIO_LOSSLESS,
682,Premium Famille,Premium,15,99,6,47,O,N,O,N
683,Gratuit,Free,0,1,25,N,O,N,N,
684,Premium Solo,Premium,9,99,1,24,O,N,O,N
685,Premium Duo,Premium,12,99,1,28,N,N,O,O
686,Premium Famille,Premium,15,99,6,34,O,N,O,N
687,Gratuit,Free,0,1,30,N,O,N,N,
688,Premium Solo,Premium,9,99,1,22,O,N,O,N
689,Premium Duo,Premium,12,99,1,39,N,N,O,N
690,Premium Famille,Premium,15,99,6,18,O,N,O,O
691,Gratuit,Free,0,1,39,N,O,N,N,
692,Premium Solo,Premium,9,99,1,39,O,N,O,N
693,Premium Duo,Premium,12,99,1,19,N,N,O,N
694,Premium Famille,Premium,15,99,6,49,O,N,O,N
695,Gratuit,Free,0,1,30,N,O,N,O,
696,Premium Solo,Premium,9,99,1,13,O,N,O,N
697,Premium Duo,Premium,12,99,1,48,N,N,O,N
698,Premium Famille,Premium,15,99,6,12,O,N,O,N
699,Gratuit,Free,0,1,44,N,O,N,N,
700,Premium Solo,Premium,9,99,1,29,O,N,O,O
701,Premium Duo,Premium,12,99,1,44,N,N,O,N
702,Premium Famille,Premium,15,99,6,32,O,N,O,N
703,Gratuit,Free,0,1,23,N,O,N,N,
704,Premium Solo,Premium,9,99,1,46,O,N,O,N
705,Premium Duo,Premium,12,99,1,29,N,N,O,O
706,Premium Famille,Premium,15,99,6,14,O,N,O,N
707,Gratuit,Free,0,1,15,N,O,N,N,
708,Premium Solo,Premium,9,99,1,23,O,N,O,N
709,Premium Duo,Premium,12,99,1,28,N,N,O,N
710,Premium Famille,Premium,15,99,6,35,O,N,O,O
711,Gratuit,Free,0,1,18,N,O,N,N,
712,Premium Solo,Premium,9,99,1,37,O,N,O,N
713,Premium Duo,Premium,12,99,1,20,N,N,O,N
714,Premium Famille,Premium,15,99,6,48,O,N,O,N
715,Gratuit,Free,0,1,19,N,O,N,O,
716,Premium Solo,Premium,9,99,1,29,O,N,O,N
717,Premium Duo,Premium,12,99,1,27,N,N,O,N
718,Premium Famille,Premium,15,99,6,48,O,N,O,N
719,Gratuit,Free,0,1,26,N,O,N,N,
720,Premium Solo,Premium,9,99,1,16,O,N,O,O
721,Premium Duo,Premium,12,99,1,28,N,N,O,N
722,Premium Famille,Premium,15,99,6,42,O,N,O,N
723,Gratuit,Free,0,1,44,N,O,N,N,
724,Premium Solo,Premium,9,99,1,37,O,N,O,N
725,Premium Duo,Premium,12,99,1,24,N,N,O,O
726,Premium Famille,Premium,15,99,6,44,O,N,O,N
727,Gratuit,Free,0,1,24,N,O,N,N,
728,Premium Solo,Premium,9,99,1,35,O,N,O,N
729,Premium Duo,Premium,12,99,1,31,N,N,O,N
730,Premium Famille,Premium,15,99,6,43,O,N,O,O
731,Gratuit,Free,0,1,48,N,O,N,N,
732,Premium Solo,Premium,9,99,1,15,O,N,O,N
733,Premium Duo,Premium,12,99,1,44,N,N,O,N
734,Premium Famille,Premium,15,99,6,34,O,N,O,N
735,Gratuit,Free,0,1,13,N,O,N,O,
736,Premium Solo,Premium,9,99,1,41,O,N,O,N
737,Premium Duo,Premium,12,99,1,11,N,N,O,N
738,Premium Famille,Premium,15,99,6,31,O,N,O,N
739,Gratuit,Free,0,1,37,N,O,N,N,
740,Premium Solo,Premium,9,99,1,47,O,N,O,O
741,Premium Duo,Premium,12,99,1,19,N,N,O,N
742,Premium Famille,Premium,15,99,6,38,O,N,O,N
743,Gratuit,Free,0,1,10,N,O,N,N,
744,Premium Solo,Premium,9,99,1,10,O,N,O,N
745,Premium Duo,Premium,12,99,1,16,N,N,O,O
746,Premium Famille,Premium,15,99,6,49,O,N,O,N
747,Gratuit,Free,0,1,18,N,O,N,N,
748,Premium Solo,Premium,9,99,1,37,O,N,O,N
749,Premium Duo,Premium,12,99,1,47,N,N,O,N
750,Premium Famille,Premium,15,99,6,47,O,N,O,O
751,Gratuit,Free,0,1,20,N,O,N,N,
752,Premium Solo,Premium,9,99,1,27,O,N,O,N
753,Premium Duo,Premium,12,99,1,44,N,N,O,N
754,Premium Famille,Premium,15,99,6,39,O,N,O,N
755,Gratuit,Free,0,1,16,N,O,N,O,
756,Premium Solo,Premium,9,99,1,18,O,N,O,N
757,Premium Duo,Premium,12,99,1,27,N,N,O,N
758,Premium Famille,Premium,15,99,6,38,O,N,O,N
759,Gratuit,Free,0,1,31,N,O,N,N,
760,Premium Solo,Premium,9,99,1,11,O,N,O,O
761,Premium Duo,Premium,12,99,1,47,N,N,O,N
762,Premium Famille,Premium,15,99,6,14,O,N,O,N
763,Gratuit,Free,0,1,28,N,O,N,N,
764,Premium Solo,Premium,9,99,1,23,O,N,O,N
765,Premium Duo,Premium,12,99,1,19,N,N,O,O
766,Premium Famille,Premium,15,99,6,21,O,N,O,N
767,Gratuit,Free,0,1,28,N,O,N,N,
768,Premium Solo,Premium,9,99,1,21,O,N,O,N
769,Premium Duo,Premium,12,99,1,30,N,N,O,N
770,Premium Famille,Premium,15,99,6,47,O,N,O,O
771,Gratuit,Free,0,1,26,N,O,N,N,
772,Premium Solo,Premium,9,99,1,37,O,N,O,N
773,Premium Duo,Premium,12,99,1,36,N,N,O,N
774,Premium Famille,Premium,15,99,6,27,O,N,O,N
775,Gratuit,Free,0,1,16,N,O,N,O,
776,Premium Solo,Premium,9,99,1,35,O,N,O,N
777,Premium Duo,Premium,12,99,1,41,N,N,O,N
778,Premium Famille,Premium,15,99,6,13,O,N,O,N
779,Gratuit,Free,0,1,24,N,O,N,N,
780,Premium Solo,Premium,9,99,1,21,O,N,O,O
781,Premium Duo,Premium,12,99,1,41,N,N,O,N
782,Premium Famille,Premium,15,99,6,35,O,N,O,N
783,Gratuit,Free,0,1,12,N,O,N,N,
784,Premium Solo,Premium,9,99,1,26,O,N,O,N
785,Premium Duo,Premium,12,99,1,33,N,N,O,O
786,Premium Famille,Premium,15,99,6,15,O,N,O,N
787,Gratuit,Free,0,1,24,N,O,N,N,
788,Premium Solo,Premium,9,99,1,22,O,N,O,N
789,Premium Duo,Premium,12,99,1,22,N,N,O,N
1,Premium Duo,Premium,12,99,1,11,N,N,O,N
2,Premium Famille,Premium,15,99,6,29,O,N,O,N
3,Gratuit,Free,0,1,17,N,O,N,N,
4,Premium Solo,Premium,9,99,1,25,O,N,O,N
5,Premium Duo,Premium,12,99,1,22,N,N,O,O
6,Premium Famille,Premium,15,99,6,18,O,N,O,N
7,Gratuit,Free,0,1,47,N,O,N,N,
8,Premium Solo,Premium,9,99,1,18,O,N,O,N
9,Premium Duo,Premium,12,99,1,21,N,N,O,N
10,Premium Famille,Premium,15,99,6,26,O,N,O,O
11,Gratuit,Free,0,1,43,N,O,N,N,
12,Premium Solo,Premium,9,99,1,37,O,N,O,N
13,Premium Duo,Premium,12,99,1,43,N,N,O,N
14,Premium Famille,Premium,15,99,6,27,O,N,O,N
15,Gratuit,Free,0,1,17,N,O,N,O,
16,Premium Solo,Premium,9,99,1,34,O,N,O,N
17,Premium Duo,Premium,12,99,1,24,N,N,O,N
18,Premium Famille,Premium,15,99,6,44,O,N,O,N
19,Gratuit,Free,0,1,22,N,O,N,N,
20,Premium Solo,Premium,9,99,1,49,O,N,O,O
21,Premium Duo,Premium,12,99,1,34,N,N,O,N
22,Premium Famille,Premium,15,99,6,19,O,N,O,N
23,Gratuit,Free,0,1,37,N,O,N,N,
24,Premium Solo,Premium,9,99,1,36,O,N,O,N
25,Premium Duo,Premium,12,99,1,23,N,N,O,O
26,Premium Famille,Premium,15,99,6,16,O,N,O,N
27,Gratuit,Free,0,1,37,N,O,N,N,
28,Premium Solo,Premium,9,99,1,23,O,N,O,N
29,Premium Duo,Premium,12,99,1,44,N,N,O,N
30,Premium Famille,Premium,15,99,6,17,O,N,O,O
31,Gratuit,Free,0,1,49,N,O,N,N,
32,Premium Solo,Premium,9,99,1,21,O,N,O,N
33,Premium Duo,Premium,12,99,1,24,N,N,O,N
34,Premium Famille,Premium,15,99,6,37,O,N,O,N
35,Gratuit,Free,0,1,24,N,O,N,O,
36,Premium Solo,Premium,9,99,1,26,O,N,O,N
37,Premium Duo,Premium,12,99,1,42,N,N,O,N
38,Premium Famille,Premium,15,99,6,48,O,N,O,N
39,Gratuit,Free,0,1,40,N,O,N,N,
40,Premium Solo,Premium,9,99,1,45,O,N,O,O
41,Premium Duo,Premium,12,99,1,45,N,N,O,N
42,Premium Famille,Premium,15,99,6,33,O,N,O,N
43,Gratuit,Free,0,1,36,N,O,N,N,
44,Premium Solo,Premium,9,99,1,11,O,N,O,N
45,Premium Duo,Premium,12,99,1,20,N,N,O,O
46,Premium Famille,Premium,15,99,6,47,O,N,O,N
47,Gratuit,Free,0,1,19,N,O,N,N,
48,Premium Solo,Premium,9,99,1,41,O,N,O,N
49,Premium Duo,Premium,12,99,1,46,N,N,O,N
50,Premium Famille,Premium,15,99,6,29,O,N,O,O
51,Gratuit,Free,0,1,31,N,O,N,N,
52,Premium Solo,Premium,9,99,1,23,O,N,O,N
53,Premium Duo,Premium,12,99,1,29,N,N,O,N
54,Premium Famille,Premium,15,99,6,18,O,N,O,N
55,Gratuit,Free,0,1,31,N,O,N,O,
56,Premium Solo,Premium,9,99,1,24,O,N,O,N
57,Premium Duo,Premium,12,99,1,35,N,N,O,N
58,Premium Famille,Premium,15,99,6,45,O,N,O,N
59,Gratuit,Free,0,1,38,N,O,N,N,
60,Premium Solo,Premium,9,99,1,16,O,N,O,O
61,Premium Duo,Premium,12,99,1,25,N,N,O,N
62,Premium Famille,Premium,15,99,6,47,O,N,O,N
63,Gratuit,Free,0,1,30,N,O,N,N,
64,Premium Solo,Premium,9,99,1,36,O,N,O,N
65,Premium Duo,Premium,12,99,1,13,N,N,O,O
66,Premium Famille,Premium,15,99,6,17,O,N,O,N
67,Gratuit,Free,0,1,13,N,O,N,N,
68,Premium Solo,Premium,9,99,1,36,O,N,O,N
69,Premium Duo,Premium,12,99,1,25,N,N,O,N
70,Premium Famille,Premium,15,99,6,47,O,N,O,O
71,Gratuit,Free,0,1,30,N,O,N,N,
72,Premium Solo,Premium,9,99,1,19,O,N,O,N
73,Premium Duo,Premium,12,99,1,28,N,N,O,N
74,Premium Famille,Premium,15,99,6,48,O,N,O,N
75,Gratuit,Free,0,1,10,N,O,N,O,
76,Premium Solo,Premium,9,99,1,44,O,N,O,N
77,Premium Duo,Premium,12,99,1,17,N,N,O,N
78,Premium Famille,Premium,15,99,6,46,O,N,O,N
79,Gratuit,Free,0,1,28,N,O,N,N,
80,Premium Solo,Premium,9,99,1,20,O,N,O,O
81,Premium Duo,Premium,12,99,1,36,N,N,O,N
82,Premium Famille,Premium,15,99,6,19,O,N,O,N
83,Gratuit,Free,0,1,36,N,O,N,N,
84,Premium Solo,Premium,9,99,1,24,O,N,O,N
85,Premium Duo,Premium,12,99,1,25,N,N,O,O
86,Premium Famille,Premium,15,99,6,31,O,N,O,N
87,Gratuit,Free,0,1,36,N,O,N,N,
88,Premium Solo,Premium,9,99,1,10,O,N,O,N
89,Premium Duo,Premium,12,99,1,33,N,N,O,N
90,Premium Famille,Premium,15,99,6,12,O,N,O,O
91,Gratuit,Free,0,1,32,N,O,N,N,
92,Premium Solo,Premium,9,99,1,18,O,N,O,N
93,Premium Duo,Premium,12,99,1,45,N,N,O,N
94,Premium Famille,Premium,15,99,6,20,O,N,O,N
95,Gratuit,Free,0,1,32,N,O,N,O,
96,Premium Solo,Premium,9,99,1,48,O,N,O,N
97,Premium Duo,Premium,12,99,1,41,N,N,O,N
98,Premium Famille,Premium,15,99,6,39,O,N,O,N
99,Gratuit,Free,0,1,37,N,O,N,N,
100,Premium Solo,Premium,9,99,1,36,O,N,O,O
101,Premium Duo,Premium,12,99,1,45,N,N,O,N
102,Premium Famille,Premium,15,99,6,39,O,N,O,N
103,Gratuit,Free,0,1,11,N,O,N,N,
104,Premium Solo,Premium,9,99,1,25,O,N,O,N
105,Premium Duo,Premium,12,99,1,28,N,N,O,O
106,Premium Famille,Premium,15,99,6,31,O,N,O,N
107,Gratuit,Free,0,1,17,N,O,N,N,
108,Premium Solo,Premium,9,99,1,36,O,N,O,N
109,Premium Duo,Premium,12,99,1,14,N,N,O,N
110,Premium Famille,Premium,15,99,6,10,O,N,O,O
111,Gratuit,Free,0,1,34,N,O,N,N,
112,Premium Solo,Premium,9,99,1,22,O,N,O,N
113,Premium Duo,Premium,12,99,1,14,N,N,O,N
114,Premium Famille,Premium,15,99,6,24,O,N,O,N
115,Gratuit,Free,0,1,30,N,O,N,O,
116,Premium Solo,Premium,9,99,1,41,O,N,O,N
117,Premium Duo,Premium,12,99,1,28,N,N,O,N
118,Premium Famille,Premium,15,99,6,17,O,N,O,N
119,Gratuit,Free,0,1,37,N,O,N,N,
120,Premium Solo,Premium,9,99,1,37,O,N,O,O
121,Premium Duo,Premium,12,99,1,20,N,N,O,N
122,Premium Famille,Premium,15,99,6,36,O,N,O,N
123,Gratuit,Free,0,1,44,N,O,N,N,
124,Premium Solo,Premium,9,99,1,21,O,N,O,N
125,Premium Duo,Premium,12,99,1,18,N,N,O,O
126,Premium Famille,Premium,15,99,6,12,O,N,O,N
127,Gratuit,Free,0,1,18,N,O,N,N,
128,Premium Solo,Premium,9,99,1,20,O,N,O,N
129,Premium Duo,Premium,12,99,1,38,N,N,O,N
130,Premium Famille,Premium,15,99,6,38,O,N,O,O
131,Gratuit,Free,0,1,30,N,O,N,N,
132,Premium Solo,Premium,9,99,1,12,O,N,O,N
133,Premium Duo,Premium,12,99,1,36,N,N,O,N
134,Premium Famille,Premium,15,99,6,29,O,N,O,N
135,Gratuit,Free,0,1,35,N,O,N,O,
136,Premium Solo,Premium,9,99,1,15,O,N,O,N
137,Premium Duo,Premium,12,99,1,41,N,N,O,N
138,Premium Famille,Premium,15,99,6,43,O,N,O,N
139,Gratuit,Free,0,1,10,N,O,N,N,
140,Premium Solo,Premium,9,99,1,30,O,N,O,O
141,Premium Duo,Premium,12,99,1,31,N,N,O,N
142,Premium Famille,Premium,15,99,6,21,O,N,O,N
143,Gratuit,Free,0,1,22,N,O,N,N,
144,Premium Solo,Premium,9,99,1,38,O,N,O,N
145,Premium Duo,Premium,12,99,1,26,N,N,O,O
146,Premium Famille,Premium,15,99,6,13,O,N,O,N
147,Gratuit,Free,0,1,49,N,O,N,N,
148,Premium Solo,Premium,9,99,1,24,O,N,O,N
149,Premium Duo,Premium,12,99,1,27,N,N,O,N
150,Premium Famille,Premium,15,99,6,19,O,N,O,O
151,Gratuit,Free,0,1,36,N,O,N,N,
152,Premium Solo,Premium,9,99,1,11,O,N,O,N
153,Premium Duo,Premium,12,99,1,25,N,N,O,N
154,Premium Famille,Premium,15,99,6,32,O,N,O,N
155,Gratuit,Free,0,1,47,N,O,N,O,
156,Premium Solo,Premium,9,99,1,14,O,N,O,N
157,Premium Duo,Premium,12,99,1,42,N,N,O,N
158,Premium Famille,Premium,15,99,6,20,O,N,O,N
159,Gratuit,Free,0,1,35,N,O,N,N,
160,Premium Solo,Premium,9,99,1,17,O,N,O,O
161,Premium Duo,Premium,12,99,1,20,N,N,O,N
162,Premium Famille,Premium,15,99,6,38,O,N,O,N
163,Gratuit,Free,0,1,39,N,O,N,N,
164,Premium Solo,Premium,9,99,1,41,O,N,O,N
165,Premium Duo,Premium,12,99,1,29,N,N,O,O
166,Premium Famille,Premium,15,99,6,20,O,N,O,N
167,Gratuit,Free,0,1,27,N,O,N,N,
168,Premium Solo,Premium,9,99,1,45,O,N,O,N
169,Premium Duo,Premium,12,99,1,18,N,N,O,N
170,Premium Famille,Premium,15,99,6,31,O,N,O,O
171,Gratuit,Free,0,1,21,N,O,N,N,
172,Premium Solo,Premium,9,99,1,49,O,N,O,N
173,Premium Duo,Premium,12,99,1,28,N,N,O,N
174,Premium Famille,Premium,15,99,6,49,O,N,O,N
175,Gratuit,Free,0,1,25,N,O,N,O,
176,Premium Solo,Premium,9,99,1,37,O,N,O,N
177,Premium Duo,Premium,12,99,1,40,N,N,O,N
178,Premium Famille,Premium,15,99,6,43,O,N,O,N
179,Gratuit,Free,0,1,35,N,O,N,N,
180,Premium Solo,Premium,9,99,1,36,O,N,O,O
181,Premium Duo,Premium,12,99,1,22,N,N,O,N
182,Premium Famille,Premium,15,99,6,45,O,N,O,N
183,Gratuit,Free,0,1,21,N,O,N,N,
184,Premium Solo,Premium,9,99,1,14,O,N,O,N
185,Premium Duo,Premium,12,99,1,20,N,N,O,O
186,Premium Famille,Premium,15,99,6,28,O,N,O,N
187,Gratuit,Free,0,1,17,N,O,N,N,
188,Premium Solo,Premium,9,99,1,28,O,N,O,N
189,Premium Duo,Premium,12,99,1,40,N,N,O,N
190,Premium Famille,Premium,15,99,6,20,O,N,O,O
191,Gratuit,Free,0,1,22,N,O,N,N,
192,Premium Solo,Premium,9,99,1,11,O,N,O,N
193,Premium Duo,Premium,12,99,1,32,N,N,O,N
194,Premium Famille,Premium,15,99,6,40,O,N,O,N
195,Gratuit,Free,0,1,21,N,O,N,O,
196,Premium Solo,Premium,9,99,1,11,O,N,O,N
197,Premium Duo,Premium,12,99,1,32,N,N,O,N
198,Premium Famille,Premium,15,99,6,40,O,N,O,N
199,Gratuit,Free,0,1,34,N,O,N,N,
200,Premium Solo,Premium,9,99,1,34,O,N,O,O
201,Premium Duo,Premium,12,99,1,35,N,N,O,N
202,Premium Famille,Premium,15,99,6,20,O,N,O,N
203,Gratuit,Free,0,1,24,N,O,N,N,
204,Premium Solo,Premium,9,99,1,46,O,N,O,N
205,Premium Duo,Premium,12,99,1,19,N,N,O,O
206,Premium Famille,Premium,15,99,6,11,O,N,O,N
207,Gratuit,Free,0,1,38,N,O,N,N,
208,Premium Solo,Premium,9,99,1,15,O,N,O,N
209,Premium Duo,Premium,12,99,1,25,N,N,O,N
210,Premium Famille,Premium,15,99,6,33,O,N,O,O
211,Gratuit,Free,0,1,41,N,O,N,N,
212,Premium Solo,Premium,9,99,1,14,O,N,O,N
213,Premium Duo,Premium,12,99,1,15,N,N,O,N
214,Premium Famille,Premium,15,99,6,47,O,N,O,N
215,Gratuit,Free,0,1,21,N,O,N,O,
216,Premium Solo,Premium,9,99,1,31,O,N,O,N
217,Premium Duo,Premium,12,99,1,17,N,N,O,N
218,Premium Famille,Premium,15,99,6,47,O,N,O,N
219,Gratuit,Free,0,1,19,N,O,N,N,
220,Premium Solo,Premium,9,99,1,20,O,N,O,O
221,Premium Duo,Premium,12,99,1,30,N,N,O,N
222,Premium Famille,Premium,15,99,6,39,O,N,O,N
223,Gratuit,Free,0,1,47,N,O,N,N,
224,Premium Solo,Premium,9,99,1,40,O,N,O,N
225,Premium Duo,Premium,12,99,1,22,N,N,O,O
226,Premium Famille,Premium,15,99,6,32,O,N,O,N
227,Gratuit,Free,0,1,11,N,O,N,N,
228,Premium Solo,Premium,9,99,1,10,O,N,O,N
229,Premium Duo,Premium,12,99,1,39,N,N,O,N
230,Premium Famille,Premium,15,99,6,49,O,N,O,O
231,Gratuit,Free,0,1,21,N,O,N,N,
232,Premium Solo,Premium,9,99,1,26,O,N,O,N
233,Premium Duo,Premium,12,99,1,13,N,N,O,N
234,Premium Famille,Premium,15,99,6,49,O,N,O,N
235,Gratuit,Free,0,1,33,N,O,N,O,
236,Premium Solo,Premium,9,99,1,31,O,N,O,N
237,Premium Duo,Premium,12,99,1,47,N,N,O,N
238,Premium Famille,Premium,15,99,6,10,O,N,O,N
239,Gratuit,Free,0,1,19,N,O,N,N,
240,Premium Solo,Premium,9,99,1,36,O,N,O,O
241,Premium Duo,Premium,12,99,1,11,N,N,O,N
242,Premium Famille,Premium,15,99,6,48,O,N,O,N
243,Gratuit,Free,0,1,33,N,O,N,N,
244,Premium Solo,Premium,9,99,1,45,O,N,O,N
245,Premium Duo,Premium,12,99,1,18,N,N,O,O
246,Premium Famille,Premium,15,99,6,33,O,N,O,N
247,Gratuit,Free,0,1,33,N,O,N,N,
248,Premium Solo,Premium,9,99,1,39,O,N,O,N
249,Premium Duo,Premium,12,99,1,37,N,N,O,N
250,Premium Famille,Premium,15,99,6,31,O,N,O,O
251,Gratuit,Free,0,1,21,N,O,N,N,
252,Premium Solo,Premium,9,99,1,13,O,N,O,N
253,Premium Duo,Premium,12,99,1,29,N,N,O,N
254,Premium Famille,Premium,15,99,6,31,O,N,O,N
255,Gratuit,Free,0,1,25,N,O,N,O,
256,Premium Solo,Premium,9,99,1,48,O,N,O,N
257,Premium Duo,Premium,12,99,1,42,N,N,O,N
258,Premium Famille,Premium,15,99,6,25,O,N,O,N
259,Gratuit,Free,0,1,47,N,O,N,N,
260,Premium Solo,Premium,9,99,1,49,O,N,O,O
261,Premium Duo,Premium,12,99,1,11,N,N,O,N
262,Premium Famille,Premium,15,99,6,10,O,N,O,N
263,Gratuit,Free,0,1,31,N,O,N,N,
264,Premium Solo,Premium,9,99,1,29,O,N,O,N
265,Premium Duo,Premium,12,99,1,33,N,N,O,O
266,Premium Famille,Premium,15,99,6,24,O,N,O,N
267,Gratuit,Free,0,1,35,N,O,N,N,
268,Premium Solo,Premium,9,99,1,12,O,N,O,N
269,Premium Duo,Premium,12,99,1,48,N,N,O,N
270,Premium Famille,Premium,15,99,6,31,O,N,O,O
271,Gratuit,Free,0,1,18,N,O,N,N,
272,Premium Solo,Premium,9,99,1,18,O,N,O,N
273,Premium Duo,Premium,12,99,1,45,N,N,O,N
274,Premium Famille,Premium,15,99,6,43,O,N,O,N
275,Gratuit,Free,0,1,15,N,O,N,O,
276,Premium Solo,Premium,9,99,1,39,O,N,O,N
277,Premium Duo,Premium,12,99,1,22,N,N,O,N
278,Premium Famille,Premium,15,99,6,30,O,N,O,N
279,Gratuit,Free,0,1,30,N,O,N,N,
280,Premium Solo,Premium,9,99,1,10,O,N,O,O
281,Premium Duo,Premium,12,99,1,13,N,N,O,N
282,Premium Famille,Premium,15,99,6,22,O,N,O,N
283,Gratuit,Free,0,1,14,N,O,N,N,
284,Premium Solo,Premium,9,99,1,19,O,N,O,N
285,Premium Duo,Premium,12,99,1,31,N,N,O,O
286,Premium Famille,Premium,15,99,6,37,O,N,O,N
287,Gratuit,Free,0,1,24,N,O,N,N,
288,Premium Solo,Premium,9,99,1,46,O,N,O,N
289,Premium Duo,Premium,12,99,1,25,N,N,O,N
290,Premium Famille,Premium,15,99,6,31,O,N,O,O
291,Gratuit,Free,0,1,30,N,O,N,N,
292,Premium Solo,Premium,9,99,1,48,O,N,O,N
293,Premium Duo,Premium,12,99,1,11,N,N,O,N
294,Premium Famille,Premium,15,99,6,41,O,N,O,N
295,Gratuit,Free,0,1,16,N,O,N,O,
296,Premium Solo,Premium,9,99,1,34,O,N,O,N
297,Premium Duo,Premium,12,99,1,22,N,N,O,N
298,Premium Famille,Premium,15,99,6,19,O,N,O,N
299,Gratuit,Free,0,1,48,N,O,N,N,
300,Premium Solo,Premium,9,99,1,16,O,N,O,O
301,Premium Duo,Premium,12,99,1,14,N,N,O,N
302,Premium Famille,Premium,15,99,6,41,O,N,O,N
303,Gratuit,Free,0,1,48,N,O,N,N,
304,Premium Solo,Premium,9,99,1,33,O,N,O,N
305,Premium Duo,Premium,12,99,1,24,N,N,O,O
306,Premium Famille,Premium,15,99,6,27,O,N,O,N
307,Gratuit,Free,0,1,42,N,O,N,N,
308,Premium Solo,Premium,9,99,1,42,O,N,O,N
309,Premium Duo,Premium,12,99,1,12,N,N,O,N
310,Premium Famille,Premium,15,99,6,45,O,N,O,O
311,Gratuit,Free,0,1,49,N,O,N,N,
312,Premium Solo,Premium,9,99,1,46,O,N,O,N
313,Premium Duo,Premium,12,99,1,37,N,N,O,N
314,Premium Famille,Premium,15,99,6,11,O,N,O,N
315,Gratuit,Free,0,1,18,N,O,N,O,
316,Premium Solo,Premium,9,99,1,33,O,N,O,N
317,Premium Duo,Premium,12,99,1,38,N,N,O,N
318,Premium Famille,Premium,15,99,6,46,O,N,O,N
319,Gratuit,Free,0,1,26,N,O,N,N,
320,Premium Solo,Premium,9,99,1,48,O,N,O,O
321,Premium Duo,Premium,12,99,1,45,N,N,O,N
322,Premium Famille,Premium,15,99,6,16,O,N,O,N
323,Gratuit,Free,0,1,11,N,O,N,N,
324,Premium Solo,Premium,9,99,1,10,O,N,O,N
325,Premium Duo,Premium,12,99,1,22,N,N,O,O
