,,,,,,,,,,
,,,,,,,,,,
ID_SEGMENT,NOM_TRANCHE_D_AGE,AGE_MINIMUM,AGE_MAXIMUM,POURCENTAGE_POPULATION,REVENU_MOYEN,GENRE_MUSICAL_FAVORI,APPAREIL_PREFERE,FLAG_UTILISATEURS_MINEURS,,
655,Moins de 18 Ans,1,17,29,29,69515,75,Rock,Ordinateur,O
656,18-25 Ans,18,25,28,96,47872,9,Rap,Smart TV,N
657,26-40 Ans,26,40,27,6,58767,19,Pop,Smartphone,N
658,41-60 Ans,41,60,24,91,20643,2,Rock,Ordinateur,N
659,Moins de 18 Ans,1,17,15,22,58327,36,Rap,Smart TV,O
660,18-25 Ans,18,25,17,74,51472,21,Pop,Smartphone,N
661,26-40 Ans,26,40,15,86,36052,5,Rock,Ordinateur,N
662,41-60 Ans,41,60,20,1,28807,59,Rap,Smart TV,N
663,Moins de 18 Ans,1,17,25,5,96773,27,Pop,Smartphone,O
664,18-25 Ans,18,25,13,86,37993,76,Rock,Ordinateur,N
665,26-40 Ans,26,40,20,98,92684,64,Rap,Smart TV,N
666,41-60 Ans,41,60,17,77,31580,86,Pop,Smartphone,N
667,Moins de 18 Ans,1,17,19,36,44450,7,Rock,Ordinateur,O
668,18-25 Ans,18,25,22,7,49473,32,Rap,Smart TV,N
669,26-40 Ans,26,40,24,46,96143,58,Pop,Smartphone,N
670,41-60 Ans,41,60,29,7,42606,34,Rock,Ordinateur,N
671,Moins de 18 Ans,1,17,12,95,31311,85,Rap,Smart TV,O
672,18-25 Ans,18,25,13,73,22829,27,Pop,Smartphone,N
673,26-40 Ans,26,40,18,49,45456,84,Rock,Ordinateur,N
674,41-60 Ans,41,60,29,2,93904,76,Rap,Smart TV,N
675,Moins de 18 Ans,1,17,20,49,79402,97,Pop,Smartphone,O
676,18-25 Ans,18,25,10,45,30994,22,Rock,Ordinateur,N
677,26-40 Ans,26,40,17,98,37241,95,Rap,Smart TV,N
678,41-60 Ans,41,60,25,57,54565,2,Pop,Smartphone,N
679,Moins de 18 Ans,1,17,27,52,23158,56,Rock,Ordinateur,O
680,18-25 Ans,18,25,28,63,64578,34,Rap,Smart TV,N
681,26-40 Ans,26,40,29,7,37091,43,Pop,Smartphone,N
682,41-60 Ans,41,60,22,12,54604,35,Rock,Ordinateur,N
1,26-40 Ans,26,40,19,54849,82,Rock,Ordinateur,N,
2,41-60 Ans,41,60,20,96,73235,7,Rap,Smart TV,N
3,Moins de 18 Ans,1,17,26,24,91698,5,Pop,Smartphone,O
4,18-25 Ans,18,25,11,44,55352,17,Rock,Ordinateur,N
5,26-40 Ans,26,40,24,38,55076,6,Rap,Smart TV,N
6,41-60 Ans,41,60,24,13,39916,12,Pop,Smartphone,N
7,Moins de 18 Ans,1,17,23,48,58325,64,Rock,Ordinateur,O
8,18-25 Ans,18,25,17,4,31284,67,Rap,Smart TV,N
9,26-40 Ans,26,40,20,31,90963,27,Pop,Smartphone,N
10,41-60 Ans,41,60,16,12,93560,11,Rock,Ordinateur,N
11,Moins de 18 Ans,1,17,19,87,61724,43,Rap,Smart TV,O
12,18-25 Ans,18,25,24,28287,82,Pop,Smartphone,N,
13,26-40 Ans,26,40,14,44,36278,8,Rock,Ordinateur,N
14,41-60 Ans,41,60,25,75,35074,54,Rap,Smart TV,N
15,Moins de 18 Ans,1,17,14,11,30148,28,Pop,Smartphone,O
16,18-25 Ans,18,25,16,39,84157,86,Rock,Ordinateur,N
17,26-40 Ans,26,40,25,78,84803,13,Rap,Smart TV,N
18,41-60 Ans,41,60,27,17,28933,67,Pop,Smartphone,N
19,Moins de 18 Ans,1,17,20,8,70240,16,Rock,Ordinateur,O
20,18-25 Ans,18,25,14,52,79279,32,Rap,Smart TV,N
21,26-40 Ans,26,40,18,77,57487,45,Pop,Smartphone,N
22,41-60 Ans,41,60,27,69,82609,28,Rock,Ordinateur,N
23,Moins de 18 Ans,1,17,20,61,82367,29,Rap,Smart TV,O
24,18-25 Ans,18,25,13,79,56838,69,Pop,Smartphone,N
25,26-40 Ans,26,40,16,39,69402,3,Rock,Ordinateur,N
26,41-60 Ans,41,60,26,6,85473,94,Rap,Smart TV,N
27,Moins de 18 Ans,1,17,28,41,22797,27,Pop,Smartphone,O
28,18-25 Ans,18,25,18,36,73772,53,Rock,Ordinateur,N
29,26-40 Ans,26,40,22,78,46862,8,Rap,Smart TV,N
30,41-60 Ans,41,60,27,8,21373,16,Pop,Smartphone,N
31,Moins de 18 Ans,1,17,10,46,51315,92,Rock,Ordinateur,O
32,18-25 Ans,18,25,14,88,60634,48,Rap,Smart TV,N
33,26-40 Ans,26,40,14,97,65181,62,Pop,Smartphone,N
34,41-60 Ans,41,60,17,21,37103,62,Rock,Ordinateur,N
35,Moins de 18 Ans,1,17,12,14,66203,39,Rap,Smart TV,O
36,18-25 Ans,18,25,27,64,96327,94,Pop,Smartphone,N
37,26-40 Ans,26,40,17,11,35235,55,Rock,Ordinateur,N
38,41-60 Ans,41,60,24,4,21900,6,Rap,Smart TV,N
39,Moins de 18 Ans,1,17,16,2,91181,61,Pop,Smartphone,O
40,18-25 Ans,18,25,21,28,63321,73,Rock,Ordinateur,N
41,26-40 Ans,26,40,26,42,67231,96,Rap,Smart TV,N
42,41-60 Ans,41,60,10,14,30061,19,Pop,Smartphone,N
43,Moins de 18 Ans,1,17,13,24,78998,39,Rock,Ordinateur,O
44,18-25 Ans,18,25,19,48,54249,31,Rap,Smart TV,N
45,26-40 Ans,26,40,12,92,76989,42,Pop,Smartphone,N
46,41-60 Ans,41,60,12,58,65030,87,Rock,Ordinateur,N
47,Moins de 18 Ans,1,17,10,39,57572,51,Rap,Smart TV,O
48,18-25 Ans,18,25,14,98,74955,84,Pop,Smartphone,N
49,26-40 Ans,26,40,10,67,39591,77,Rock,Ordinateur,N
50,41-60 Ans,41,60,29,93,70992,96,Rap,Smart TV,N
51,Moins de 18 Ans,1,17,17,14,25743,82,Pop,Smartphone,O
52,18-25 Ans,18,25,18,29,74000,25,Rock,Ordinateur,N
53,26-40 Ans,26,40,26,16,60390,2,Rap,Smart TV,N
54,41-60 Ans,41,60,26,84,37728,81,Pop,Smartphone,N
55,Moins de 18 Ans,1,17,28,49,98565,81,Rock,Ordinateur,O
56,18-25 Ans,18,25,14,27,56809,74,Rap,Smart TV,N
57,26-40 Ans,26,40,28,52,88858,74,Pop,Smartphone,N
58,41-60 Ans,41,60,12,86,34791,9,Rock,Ordinateur,N
59,Moins de 18 Ans,1,17,12,58,77440,43,Rap,Smart TV,O
60,18-25 Ans,18,25,28,72,51544,96,Pop,Smartphone,N
61,26-40 Ans,26,40,15,54,59156,65,Rock,Ordinateur,N
62,41-60 Ans,41,60,25,53,30121,9,Rap,Smart TV,N
63,Moins de 18 Ans,1,17,10,94,30477,8,Pop,Smartphone,O
64,18-25 Ans,18,25,22,82,51119,8,Rock,Ordinateur,N
65,26-40 Ans,26,40,18,71,75882,3,Rap,Smart TV,N
66,41-60 Ans,41,60,23,22,72662,42,Pop,Smartphone,N
67,Moins de 18 Ans,1,17,29,23,98293,15,Rock,Ordinateur,O
68,18-25 Ans,18,25,14,33,70318,98,Rap,Smart TV,N
69,26-40 Ans,26,40,11,91,87922,5,Pop,Smartphone,N
70,41-60 Ans,41,60,16,95,26924,45,Rock,Ordinateur,N
71,Moins de 18 Ans,1,17,24,39,75024,66,Rap,Smart TV,O
72,18-25 Ans,18,25,27,76,25759,26,Pop,Smartphone,N
73,26-40 Ans,26,40,21,46,41741,2,Rock,Ordinateur,N
74,41-60 Ans,41,60,24,96,31870,41,Rap,Smart TV,N
75,Moins de 18 Ans,1,17,13,75,34797,59,Pop,Smartphone,O
76,18-25 Ans,18,25,11,63,44840,12,Rock,Ordinateur,N
77,26-40 Ans,26,40,24,69,81847,4,Rap,Smart TV,N
78,41-60 Ans,41,60,25,28,52346,6,Pop,Smartphone,N
79,Moins de 18 Ans,1,17,14,6,24450,43,Rock,Ordinateur,O
80,18-25 Ans,18,25,11,28,39465,2,Rap,Smart TV,N
81,26-40 Ans,26,40,14,7,60267,4,Pop,Smartphone,N
82,41-60 Ans,41,60,27,6,90904,33,Rock,Ordinateur,N
83,Moins de 18 Ans,1,17,29,21,54416,24,Rap,Smart TV,O
84,18-25 Ans,18,25,11,78,21716,3,Pop,Smartphone,N
85,26-40 Ans,26,40,24,2,59224,36,Rock,Ordinateur,N
86,41-60 Ans,41,60,15,43,87878,53,Rap,Smart TV,N
87,Moins de 18 Ans,1,17,18,12,85942,85,Pop,Smartphone,O
88,18-25 Ans,18,25,19,33,88019,22,Rock,Ordinateur,N
89,26-40 Ans,26,40,25,22,61957,26,Rap,Smart TV,N
90,41-60 Ans,41,60,15,5,38788,86,Pop,Smartphone,N
91,Moins de 18 Ans,1,17,16,32,77784,6,Rock,Ordinateur,O
92,18-25 Ans,18,25,23,99,33575,77,Rap,Smart TV,N
93,26-40 Ans,26,40,19,43,54007,89,Pop,Smartphone,N
94,41-60 Ans,41,60,11,25,33147,6,Rock,Ordinateur,N
95,Moins de 18 Ans,1,17,10,69,42442,3,Rap,Smart TV,O
96,18-25 Ans,18,25,27,45,43894,3,Pop,Smartphone,N
97,26-40 Ans,26,40,17,5,38181,23,Rock,Ordinateur,N
98,41-60 Ans,41,60,29,46,74423,18,Rap,Smart TV,N
99,Moins de 18 Ans,1,17,12,36,98187,78,Pop,Smartphone,O
100,18-25 Ans,18,25,11,87,42629,41,Rock,Ordinateur,N
101,26-40 Ans,26,40,25,24,21539,13,Rap,Smart TV,N
102,41-60 Ans,41,60,29,94,67478,5,Pop,Smartphone,N
103,Moins de 18 Ans,1,17,10,19,63805,4,Rock,Ordinateur,O
104,18-25 Ans,18,25,13,21,59646,29,Rap,Smart TV,N
105,26-40 Ans,26,40,15,95,23107,18,Pop,Smartphone,N
106,41-60 Ans,41,60,22,78,61497,2,Rock,Ordinateur,N
107,Moins de 18 Ans,1,17,25,56,81079,98,Rap,Smart TV,O
108,18-25 Ans,18,25,18,26,74002,2,Pop,Smartphone,N
109,26-40 Ans,26,40,28,57,95400,25,Rock,Ordinateur,N
110,41-60 Ans,41,60,11,1,99602,56,Rap,Smart TV,N
111,Moins de 18 Ans,1,17,24,21,96912,91,Pop,Smartphone,O
112,18-25 Ans,18,25,16,4,24970,78,Rock,Ordinateur,N
113,26-40 Ans,26,40,24,35,39545,15,Rap,Smart TV,N
114,41-60 Ans,41,60,20,58,61906,1,Pop,Smartphone,N
115,Moins de 18 Ans,1,17,26,3,64779,53,Rock,Ordinateur,O
116,18-25 Ans,18,25,12,66,61863,43,Rap,Smart TV,N
117,26-40 Ans,26,40,20,87,41741,27,Pop,Smartphone,N
118,41-60 Ans,41,60,26,57,46015,84,Rock,Ordinateur,N
119,Moins de 18 Ans,1,17,15,4,88819,27,Rap,Smart TV,O
120,18-25 Ans,18,25,23,31,81534,37,Pop,Smartphone,N
121,26-40 Ans,26,40,19,28,76144,48,Rock,Ordinateur,N
122,41-60 Ans,41,60,23,66,84978,62,Rap,Smart TV,N
123,Moins de 18 Ans,1,17,10,88,42825,16,Pop,Smartphone,O
124,18-25 Ans,18,25,29,47,42464,47,Rock,Ordinateur,N
125,26-40 Ans,26,40,13,4,21880,19,Rap,Smart TV,N
126,41-60 Ans,41,60,23,51,86299,2,Pop,Smartphone,N
127,Moins de 18 Ans,1,17,28,78,53085,63,Rock,Ordinateur,O
128,18-25 Ans,18,25,16,9,58371,17,Rap,Smart TV,N
129,26-40 Ans,26,40,15,27,62050,67,Pop,Smartphone,N
130,41-60 Ans,41,60,12,35,84871,8,Rock,Ordinateur,N
131,Moins de 18 Ans,1,17,12,15,43507,98,Rap,Smart TV,O
132,18-25 Ans,18,25,10,38,87301,7,Pop,Smartphone,N
133,26-40 Ans,26,40,16,21,57402,38,Rock,Ordinateur,N
134,41-60 Ans,41,60,26,88,23824,68,Rap,Smart TV,N
135,Moins de 18 Ans,1,17,22,47,26263,4,Pop,Smartphone,O
136,18-25 Ans,18,25,18,88,51390,2,Rock,Ordinateur,N
137,26-40 Ans,26,40,22,89,78695,49,Rap,Smart TV,N
138,41-60 Ans,41,60,26,15,80380,31,Pop,Smartphone,N
139,Moins de 18 Ans,1,17,14,93,43506,67,Rock,Ordinateur,O
140,18-25 Ans,18,25,16,86,90987,9,Rap,Smart TV,N
141,26-40 Ans,26,40,15,36,36327,47,Pop,Smartphone,N
142,41-60 Ans,41,60,17,5,79231,32,Rock,Ordinateur,N
143,Moins de 18 Ans,1,17,29,47,58248,83,Rap,Smart TV,O
144,18-25 Ans,18,25,10,6,84580,68,Pop,Smartphone,N
145,26-40 Ans,26,40,25,95,95651,Rock,Ordinateur,N,
146,41-60 Ans,41,60,12,72,50174,22,Rap,Smart TV,N
147,Moins de 18 Ans,1,17,13,8,74731,8,Pop,Smartphone,O
148,18-25 Ans,18,25,22,21,81963,54,Rock,Ordinateur,N
149,26-40 Ans,26,40,13,39,62156,96,Rap,Smart TV,N
150,41-60 Ans,41,60,27,2,73421,28,Pop,Smartphone,N
151,Moins de 18 Ans,1,17,17,27,53432,73,Rock,Ordinateur,O
152,18-25 Ans,18,25,23,46,85126,23,Rap,Smart TV,N
153,26-40 Ans,26,40,25,14,58606,94,Pop,Smartphone,N
154,41-60 Ans,41,60,21,67,34838,76,Rock,Ordinateur,N
155,Moins de 18 Ans,1,17,24,15,75035,46,Rap,Smart TV,O
156,18-25 Ans,18,25,17,34,62509,62,Pop,Smartphone,N
157,26-40 Ans,26,40,24,59,57589,29,Rock,Ordinateur,N
158,41-60 Ans,41,60,21,3,26449,74,Rap,Smart TV,N
159,Moins de 18 Ans,1,17,25,44,21744,35,Pop,Smartphone,O
160,18-25 Ans,18,25,22,97,28640,4,Rock,Ordinateur,N
161,26-40 Ans,26,40,18,26,98399,8,Rap,Smart TV,N
162,41-60 Ans,41,60,18,5,82226,52,Pop,Smartphone,N
163,Moins de 18 Ans,1,17,25,25,24371,85,Rock,Ordinateur,O
164,18-25 Ans,18,25,13,34,85091,61,Rap,Smart TV,N
165,26-40 Ans,26,40,15,21,73384,49,Pop,Smartphone,N
166,41-60 Ans,41,60,18,45,68826,28,Rock,Ordinateur,N
167,Moins de 18 Ans,1,17,24,23,21289,76,Rap,Smart TV,O
168,18-25 Ans,18,25,24,3,22001,2,Pop,Smartphone,N
169,26-40 Ans,26,40,23,73,94884,73,Rock,Ordinateur,N
170,41-60 Ans,41,60,28,52,74457,47,Rap,Smart TV,N
171,Moins de 18 Ans,1,17,13,32,49592,89,Pop,Smartphone,O
172,18-25 Ans,18,25,16,77,62170,8,Rock,Ordinateur,N
173,26-40 Ans,26,40,18,31,74989,33,Rap,Smart TV,N
174,41-60 Ans,41,60,19,16,94084,8,Pop,Smartphone,N
175,Moins de 18 Ans,1,17,24,12,40717,21,Rock,Ordinateur,O
176,18-25 Ans,18,25,27,65,66600,26,Rap,Smart TV,N
177,26-40 Ans,26,40,20,14,42802,21,Pop,Smartphone,N
178,41-60 Ans,41,60,18,91,30083,7,Rock,Ordinateur,N
179,Moins de 18 Ans,1,17,19,45,87208,6,Rap,Smart TV,O
180,18-25 Ans,18,25,22,55,21428,14,Pop,Smartphone,N
181,26-40 Ans,26,40,13,20481,11,Rock,Ordinateur,N,
182,41-60 Ans,41,60,25,92,53531,71,Rap,Smart TV,N
183,Moins de 18 Ans,1,17,24,8,25471,61,Pop,Smartphone,O
184,18-25 Ans,18,25,21,13,53312,55,Rock,Ordinateur,N
185,26-40 Ans,26,40,18,12,58172,5,Rap,Smart TV,N
186,41-60 Ans,41,60,25,23,95041,11,Pop,Smartphone,N
187,Moins de 18 Ans,1,17,17,83,98972,7,Rock,Ordinateur,O
188,18-25 Ans,18,25,22,7,86293,68,Rap,Smart TV,N
189,26-40 Ans,26,40,23,35,90622,88,Pop,Smartphone,N
190,41-60 Ans,41,60,24,8,57471,2,Rock,Ordinateur,N
191,Moins de 18 Ans,1,17,16,27,23957,52,Rap,Smart TV,O
192,18-25 Ans,18,25,17,92,81409,23,Pop,Smartphone,N
193,26-40 Ans,26,40,29,5,89449,41,Rock,Ordinateur,N
194,41-60 Ans,41,60,24,73,34744,Rap,Smart TV,N,
195,Moins de 18 Ans,1,17,27,12,46331,18,Pop,Smartphone,O
196,18-25 Ans,18,25,10,86,86925,85,Rock,Ordinateur,N
197,26-40 Ans,26,40,28,84,77735,14,Rap,Smart TV,N
198,41-60 Ans,41,60,12,89609,52,Pop,Smartphone,N,
199,Moins de 18 Ans,1,17,18,77,91600,96,Rock,Ordinateur,O
200,18-25 Ans,18,25,28,87,85714,32,Rap,Smart TV,N
201,26-40 Ans,26,40,13,29,37531,18,Pop,Smartphone,N
202,41-60 Ans,41,60,27,28,27813,41,Rock,Ordinateur,N
203,Moins de 18 Ans,1,17,14,92,61414,45,Rap,Smart TV,O
204,18-25 Ans,18,25,18,22,33945,92,Pop,Smartphone,N
205,26-40 Ans,26,40,13,36,31958,42,Rock,Ordinateur,N
206,41-60 Ans,41,60,21,89,82893,65,Rap,Smart TV,N
207,Moins de 18 Ans,1,17,27,79,21909,73,Pop,Smartphone,O
208,18-25 Ans,18,25,25,71,28178,16,Rock,Ordinateur,N
209,26-40 Ans,26,40,27,48,62574,41,Rap,Smart TV,N
210,41-60 Ans,41,60,22,7,64823,6,Pop,Smartphone,N
211,Moins de 18 Ans,1,17,17,95,67939,82,Rock,Ordinateur,O
212,18-25 Ans,18,25,15,6,47839,87,Rap,Smart TV,N
213,26-40 Ans,26,40,13,98,88896,4,Pop,Smartphone,N
214,41-60 Ans,41,60,26,16,86401,75,Rock,Ordinateur,N
215,Moins de 18 Ans,1,17,27,64,66293,13,Rap,Smart TV,O
216,18-25 Ans,18,25,23,86550,98,Pop,Smartphone,N,
217,26-40 Ans,26,40,12,4,65435,8,Rock,Ordinateur,N
218,41-60 Ans,41,60,21,32,64778,34,Rap,Smart TV,N
219,Moins de 18 Ans,1,17,21,34,84585,84,Pop,Smartphone,O
220,18-25 Ans,18,25,28,84,29611,82,Rock,Ordinateur,N
221,26-40 Ans,26,40,10,35,46463,45,Rap,Smart TV,N
222,41-60 Ans,41,60,29,41,79663,42,Pop,Smartphone,N
223,Moins de 18 Ans,1,17,17,6,86266,54,Rock,Ordinateur,O
224,18-25 Ans,18,25,28,78,85296,37,Rap,Smart TV,N
225,26-40 Ans,26,40,15,8,76264,9,Pop,Smartphone,N
226,41-60 Ans,41,60,18,61,86867,3,Rock,Ordinateur,N
227,Moins de 18 Ans,1,17,19,89,35721,5,Rap,Smart TV,O
228,18-25 Ans,18,25,13,39,49069,48,Pop,Smartphone,N
229,26-40 Ans,26,40,11,61,73775,84,Rock,Ordinateur,N
230,41-60 Ans,41,60,28,55,30262,32,Rap,Smart TV,N
231,Moins de 18 Ans,1,17,11,93,24901,97,Pop,Smartphone,O
232,18-25 Ans,18,25,10,12,41579,17,Rock,Ordinateur,N
233,26-40 Ans,26,40,24,35,32838,53,Rap,Smart TV,N
234,41-60 Ans,41,60,16,92,56537,57,Pop,Smartphone,N
235,Moins de 18 Ans,1,17,26,62,78192,53,Rock,Ordinateur,O
236,18-25 Ans,18,25,14,45,91338,36,Rap,Smart TV,N
237,26-40 Ans,26,40,27,26,65913,38,Pop,Smartphone,N
238,41-60 Ans,41,60,16,12,80043,72,Rock,Ordinateur,N
239,Moins de 18 Ans,1,17,18,55,35342,42,Rap,Smart TV,O
240,18-25 Ans,18,25,13,28,56217,2,Pop,Smartphone,N
241,26-40 Ans,26,40,21,29,39083,22,Rock,Ordinateur,N
242,41-60 Ans,41,60,23,32,50113,83,Rap,Smart TV,N
243,Moins de 18 Ans,1,17,25,5,85562,22,Pop,Smartphone,O
