"ID_UTILISATEUR","DATE_NAISSANCE","PAYS_INSCRIPTION","DATE_INSCRIPTION","ANNEE_INSCRIPTION","MOIS_INSCRIPTION"
"3454","24/03/1999","France","08/01/2021",2022,8
"3455","23/01/1980","France","28/02/2023",2024,3
"3463","10/06/2002","France","15/06/2023",2022,11
"3464","01/07/1990","France","09/11/2023",2021,5
"3465","30/11/1991","France","25/01/2025",2021,4
"3469","30/03/1986","France","18/04/2025",2021,6
"3470","22/11/1985","France","29/03/2025",2022,3
"3473","07/10/1992","France","30/01/2020",2025,10
"3490","30/06/1999","France","06/05/2024",2021,5
"3495","26/01/2000","France","22/09/2022",2024,9
"3507","27/05/1983","France","07/10/2024",2022,11
"3508","09/12/1994","France","16/04/2024",2024,6
"3515","14/01/1996","France","14/05/2020",2022,6
"3519","08/10/1991","France","09/09/2023",2021,8
"3525","03/07/2009","France","08/10/2023",2020,3
"3534","21/05/2008","France","23/09/2024",2020,2
"3539","08/02/1997","France","11/10/2023",2024,6
"3547","11/10/2001","France","24/01/2024",2022,1
"3550","21/01/1984","France","17/09/2022",2025,1
"3562","30/11/1988","France","09/01/2024",2020,6
"3569","06/10/1990","France","26/01/2021",2021,11
"3578","03/12/1996","France","23/05/2024",2025,9
"3581","16/11/1992","France","26/01/2024",2025,11
"3588","10/09/1984","France","12/09/2022",2024,12
"3589","05/06/2007","France","13/07/2020",2022,8
"3596","24/06/1997","France","23/05/2020",2022,4
"3598","23/08/1990","France","08/08/2020",2024,1
"3608","27/10/2009","France","20/11/2023",2024,8
"3611","01/12/1982","France","04/02/2020",2023,10
"3615","21/05/1995","France","06/07/2024",2025,11
"3617","03/03/1995","France","29/03/2020",2023,3
"3623","07/12/1980","France","14/08/2021",2023,5
"3637","05/10/1989","France","08/01/2020",2020,10
"3639","11/07/1981","France","02/01/2025",2021,9
"3641","15/07/1983","France","02/01/2021",2021,3
"3643","04/07/1999","France","17/08/2024",2021,8
"3646","25/06/2006","France","09/11/2020",2023,11
"3652","19/07/1996","France","27/01/2021",2022,2
"3655","26/03/1992","France","30/03/2021",2023,2
"3660","07/07/1992","France","04/07/2024",2020,9
"3661","06/03/1993","France","05/06/2024",2022,6
"3664","19/06/2005","France","05/09/2021",2021,6
"3668","28/07/1991","France","28/10/2024",2025,8
"3669","04/02/1985","France","13/01/2020",2024,8
"3677","25/08/1998","France","01/05/2020",2024,9
"3678","25/03/2002","France","19/10/2022",2020,6
"3689","21/02/1999","France","13/05/2020",2022,8
"3694","04/02/2005","France","26/06/2021",2024,1
"3696","22/11/1999","France","18/11/2020",2021,9
"3713","13/10/2002","France","02/06/2022",2024,3
"3717","13/11/2003","France","29/11/2023",2022,11
"3720","23/08/2001","France","27/04/2021",2022,4
"3721","09/07/1992","France","18/12/2023",2024,5
"3723","05/04/2007","France","19/11/2024",2024,7
"3725","12/05/2008","France","20/08/2023",2023,1
"3726","03/10/2004","France","10/07/2020",2020,2
"3731","26/10/1999","France","25/09/2021",2020,4
"3735","23/12/1980","France","28/02/2022",2024,6
"3736","18/11/1986","France","06/12/2022",2022,3
"3751","27/05/1993","France","27/06/2021",2022,2
"3757","13/09/1998","France","05/06/2025",2023,4
"3758","17/01/1996","France","18/05/2025",2023,7
"3763","02/08/1984","France","21/06/2023",2023,1
"3769","12/02/2006","France","26/10/2020",2021,12
"3778","28/02/1992","France","25/08/2022",2020,6
"3781","07/11/2001","France","05/04/2024",2020,4
"3797","04/03/1999","France","19/03/2025",2025,4
"3803","04/04/1997","France","24/05/2022",2022,8
"3806","27/04/1999","France","29/01/2020",2020,11
"3810","02/11/2005","France","06/06/2022",2023,2
"3811","18/05/1997","France","17/05/2024",2024,11
"3823","23/03/2006","France","15/07/2021",2020,1
"3836","20/04/2000","France","07/09/2022",2025,4
"3837","09/06/1986","France","26/01/2021",2021,1
"3839","11/11/2006","France","18/05/2024",2020,4
"3840","18/10/2008","France","09/10/2024",2021,4
"3842","11/11/1991","France","05/10/2022",2020,1
"3843","10/02/1982","France","23/10/2022",2024,4
"3850","31/03/2000","France","03/05/2022",2023,12
"3860","26/07/2009","France","21/04/2024",2022,11
"3861","06/10/1984","France","25/04/2025",2024,10
"3862","20/02/1996","France","07/06/2020",2020,11
"3867","03/09/1998","France","19/02/2023",2024,4
"3871","26/10/2004","France","22/03/2022",2021,10
"3875","19/12/2006","France","25/09/2020",2023,11
"3881","20/05/2004","France","11/04/2021",2022,8
"3883","03/02/1994","France","13/09/2024",2024,6
"3884","26/02/1996","France","24/04/2025",2020,2
"3886","06/05/2006","France","14/08/2020",2021,9
"3892","03/08/1997","France","02/12/2021",2022,9
"3894","07/11/1998","France","17/02/2021",2024,10
"3899","07/01/1984","France","04/02/2022",2022,4
"3903","21/09/1998","France","27/02/2024",2024,4
"3906","07/09/2005","France","02/09/2020",2024,10
"3908","16/06/1982","France","14/03/2020",2023,3
"3911","18/12/2006","France","17/02/2021",2024,1
"3914","03/10/1984","France","22/05/2024",2025,2
"3916","21/08/2004","France","10/10/2020",2021,2
"3920","31/08/2006","France","10/10/2022",2024,7
"3921","12/06/2008","France","28/04/2023",2021,12
"3924","07/07/2002","France","12/10/2023",2021,10
"3925","01/05/1989","France","26/11/2020",2024,5
"3930","28/09/2003","France","04/12/2024",2021,3
"3932","02/04/2002","France","26/01/2025",2025,1
"3934","18/02/2000","France","10/02/2020",2021,8
"3939","01/04/1993","France","09/02/2023",2022,3
"3941","11/04/2007","France","13/09/2022",2021,1
"3956","01/05/1998","France","03/01/2022",2020,9
"3962","02/04/2009","France","21/07/2021",2021,1
"3964","22/11/1999","France","11/04/2023",2020,7
"3965","04/06/2001","France","11/04/2021",2020,5
"3970","13/10/1993","France","06/06/2022",2023,4
"3974","03/07/2004","France","12/01/2020",2023,2
"3987","26/08/1985","France","09/03/2023",2020,2
"3991","11/10/1999","France","24/07/2020",2023,4
"3992","12/11/2009","France","02/10/2021",2023,8
"3994","20/11/2009","France","10/03/2022",2020,1
"3998","19/07/1992","France","23/05/2024",2021,10
"3999","30/08/2008","France","27/10/2024",2023,3
"4004","01/06/1997","France","20/09/2022",2022,8
"4005","02/10/1989","France","25/03/2023",2025,9
"4006","07/02/2007","France","02/07/2022",2022,6
"4008","03/06/2008","France","05/05/2020",2023,6
"4009","21/08/1986","France","24/05/2022",2021,11
"4011","30/08/1985","France","01/03/2022",2021,1
"4016","29/12/1999","France","22/12/2021",2025,2
"4026","04/05/1988","France","24/04/2025",2025,12
"4031","02/08/1991","France","17/11/2022",2024,11
"4036","30/10/2000","France","06/02/2021",2022,5
"4039","09/11/2005","France","03/11/2021",2021,6
"4044","10/03/2005","France","30/05/2023",2022,10
"4046","09/09/2001","France","05/11/2020",2022,2
"4047","24/02/1983","France","11/08/2022",2023,1
"4048","21/02/1990","France","29/04/2020",2021,9
"4049","01/06/2004","France","25/09/2020",2024,7
"4061","31/03/1992","France","13/07/2022",2023,10
"4062","10/12/1987","France","23/08/2023",2021,1
"4066","31/05/1980","France","29/06/2023",2021,1
"4067","14/01/1992","France","01/04/2022",2024,6
"4068","29/02/1992","France","10/10/2020",2020,3
"4072","02/04/1994","France","10/12/2022",2021,7
"4076","18/07/1987","France","26/10/2022",2022,3
"4083","06/05/1995","France","27/09/2020",2023,4
"4084","01/02/1980","France","14/11/2022",2021,2
"4088","08/12/1996","France","12/02/2020",2024,9
"4089","23/11/1996","France","28/05/2023",2022,11
"4097","28/05/2002","France","21/08/2021",2020,7
"4105","15/06/1997","France","29/10/2023",2020,3
"4107","25/05/2006","France","10/09/2020",2022,11
"4112","17/02/1998","France","15/05/2020",2021,1
"4115","01/03/2003","France","10/07/2022",2024,3
"4119","25/03/2000","France","13/06/2020",2024,2
"4120","23/03/1996","France","25/02/2024",2024,4
"4123","22/10/1996","France","13/06/2025",2021,6
"4128","17/03/1983","France","08/04/2025",2020,7
"4129","06/06/2005","France","01/01/2022",2023,7
"4134","10/05/2009","France","30/04/2021",2021,8
"4136","22/10/1992","France","02/11/2024",2024,9
"4137","22/02/2001","France","12/05/2020",2024,7
"4140","21/04/2006","France","27/11/2022",2024,2
"4145","07/11/1993","France","09/10/2023",2020,1
"4152","25/03/2009","France","01/07/2023",2022,7
"4155","27/08/1994","France","28/02/2025",2023,5
"4160","26/03/1981","France","06/01/2024",2020,11
"4161","19/09/1991","France","20/09/2023",2021,2
"4164","29/09/2003","France","09/04/2022",2023,2
"4166","23/09/2009","France","30/05/2025",2022,3
"4171","14/06/2009","France","10/02/2020",2020,6
"4172","03/01/1982","France","05/01/2025",2021,6
"4177","25/03/1985","France","11/02/2020",2022,6
"4179","20/07/1998","France","20/02/2021",2020,2
"4181","09/02/1989","France","24/08/2020",2020,1
"4182","14/01/1996","France","26/05/2022",2024,12
"4185","30/03/1999","France","11/12/2023",2021,1
"4186","15/10/1998","France","28/08/2024",2023,10
"4190","15/05/1995","France","27/01/2025",2020,8
"4193","22/10/1986","France","17/11/2020",2024,7
"4194","20/04/2006","France","13/11/2024",2021,4
"4198","14/08/1996","France","01/03/2024",2024,12
"4203","12/10/2000","France","24/02/2024",2022,2
"4218","13/12/1992","France","13/01/2021",2021,2
"4223","18/12/1990","France","28/05/2023",2024,5
"4226","16/12/2002","France","16/01/2020",2025,1
"4227","22/06/2006","France","22/04/2022",2025,2
"4230","11/07/1984","France","27/06/2021",2022,3
"4234","24/03/1989","France","01/11/2024",2024,10
"4236","06/09/1986","France","25/09/2021",2024,12
"4237","09/03/1985","France","29/09/2021",2023,5
"4239","01/02/2000","France","30/12/2021",2024,5
"4253","06/03/2006","France","06/04/2022",2020,7
"4254","08/08/2007","France","24/07/2020",2024,8
"4259","24/01/1981","France","12/01/2020",2023,7
"4265","20/07/1981","France","05/04/2021",2024,2
"4269","17/06/2007","France","26/01/2025",2024,7
"4275","20/12/1993","France","06/12/2020",2021,5
"4277","04/07/2009","France","28/11/2021",2024,5
"4280","09/02/1993","France","10/08/2024",2023,11
"4284","24/09/2000","France","20/09/2020",2022,5
"4288","10/10/1983","France","10/05/2021",2021,4
"4293","22/12/2005","France","13/10/2021",2021,6
"4295","21/12/1988","France","26/08/2022",2021,10
"4302","12/01/2005","France","09/06/2022",2020,11
"4308","09/10/1987","France","21/05/2022",2020,4
"4310","16/07/1982","France","02/01/2020",2023,6
"4311","16/03/1995","France","24/04/2021",2021,8
"4314","27/06/1994","France","09/06/2023",2020,4
"4317","28/07/1986","France","19/08/2021",2025,4
"4322","31/01/2005","France","20/09/2020",2022,7
"4328","22/02/1996","France","12/09/2022",2020,7
"4332","29/03/1982","France","06/11/2024",2021,4
"4333","18/10/1981","France","25/11/2024",2020,10
"4335","02/03/2004","France","11/11/2023",2022,7
"4337","07/06/1981","France","01/06/2025",2023,2
"4339","04/10/1989","France","21/07/2023",2020,7
"4348","09/07/1999","France","12/10/2022",2022,12
"4350","20/03/2000","France","26/01/2020",2024,9
"4355","17/12/2003","France","04/06/2020",2024,1
"4357","19/02/2003","France","05/11/2024",2021,5
"4360","29/11/1995","France","06/06/2025",2020,1
"4364","07/05/1997","France","15/05/2023",2024,4
"4365","19/10/1984","France","24/09/2022",2021,7
"4367","16/10/1986","France","30/04/2023",2020,8
"4373","04/06/1981","France","02/02/2024",2023,12
"4376","17/02/1988","France","14/02/2022",2023,4
"4378","01/02/1999","France","18/06/2022",2024,4
"4387","18/01/1980","France","13/08/2021",2020,9
"4396","04/09/1998","France","18/04/2021",2021,3
"4397","23/02/1985","France","13/06/2024",2025,7
"4402","15/04/1995","France","24/10/2023",2022,3
"4403","08/03/1999","France","26/10/2024",2023,1
"4405","12/02/1993","France","18/03/2020",2020,3
"4407","24/02/2001","France","20/07/2024",2022,4
"4409","07/07/2006","France","08/04/2022",2023,12
"4410","22/03/1983","France","20/10/2024",2024,5
"4416","20/03/1998","France","22/03/2021",2024,1
"4417","09/01/1999","France","28/06/2022",2020,4
"4420","03/06/1980","France","13/03/2025",2020,9
"4425","22/02/2004","France","28/03/2025",2023,1
"4436","12/07/2006","France","21/04/2022",2021,9
"4437","07/03/2001","France","08/04/2025",2020,3
"4439","10/03/1982","France","24/09/2023",2021,3
"4440","01/09/1990","France","24/01/2025",2023,5
"4441","26/11/1993","France","03/03/2021",2024,3
"4449","27/08/2005","France","29/09/2021",2024,11
"4452","15/05/1987","France","14/06/2020",2023,1
"4461","20/04/2009","France","23/01/2021",2020,11
"4463","24/07/1984","France","20/01/2020",2021,1
"4465","30/08/2004","France","25/06/2024",2020,9
"4480","28/07/2005","France","27/01/2022",2021,1
"4487","24/03/1984","France","24/04/2020",2021,8
"4492","11/12/1992","France","24/11/2021",2023,1
"4493","06/02/1983","France","23/11/2022",2024,5
"4494","23/12/1983","France","24/07/2020",2023,1
"4503","05/11/1981","France","23/04/2024",2021,10
"4504","12/04/2001","France","17/04/2020",2025,2
"4508","05/09/1997","France","18/01/2025",2020,10
"4521","31/08/2008","France","12/03/2022",2020,1
"4523","10/07/1991","France","15/08/2021",2024,6
"4525","31/12/2002","France","09/05/2023",2024,1
"4526","18/03/1981","France","29/06/2020",2022,12
"4527","17/02/1982","France","03/09/2021",2024,9
"4528","16/06/1993","France","09/06/2025",2023,11
"4531","17/05/1994","France","20/07/2021",2024,10
"4532","18/09/2000","France","27/06/2022",2021,1
"4540","19/03/1995","France","21/09/2023",2021,6
"4546","09/05/1995","France","05/12/2024",2025,7
"4550","26/02/2008","France","11/12/2020",2023,5
"4552","25/12/1985","France","29/07/2024",2024,10
"4557","02/05/2008","France","21/04/2022",2025,10
"4559","13/07/1992","France","01/11/2022",2025,4
"4560","09/05/1994","France","02/07/2023",2025,12
"4563","23/04/2007","France","01/04/2025",2021,8
"4564","12/12/2005","France","07/09/2021",2024,8
"4570","11/01/2007","France","01/01/2023",2021,8
"4572","07/04/1985","France","11/09/2022",2024,12
"4578","13/09/1991","France","27/05/2020",2022,1
"4579","08/05/1998","France","19/07/2023",2022,5
"4580","07/01/1987","France","23/12/2022",2020,8
"4584","06/03/2002","France","01/05/2021",2023,4
"4585","01/08/1994","France","14/04/2024",2024,8
"4588","07/02/1984","France","19/02/2023",2023,4
"4589","11/08/1985","France","09/07/2023",2023,6
"4596","22/08/1983","France","11/02/2023",2023,3
"4597","30/06/2003","France","17/11/2023",2020,3
"4605","23/02/1980","France","16/03/2024",2021,2
"4615","27/05/1990","France","24/10/2024",2020,1
"4624","31/10/1989","France","26/05/2025",2024,11
"4629","12/12/1996","France","10/08/2023",2021,2
"4637","20/10/1990","France","11/01/2021",2023,3
"4638","24/02/1994","France","03/12/2022",2020,9
"4639","29/03/2005","France","19/02/2021",2020,7
"4646","22/11/1982","France","30/01/2022",2025,5
"4650","21/09/1983","France","13/09/2022",2020,11
"4651","23/12/1992","France","15/10/2020",2020,7
"4655","14/01/2004","France","05/12/2022",2025,2
"4658","25/08/1987","France","25/03/2021",2024,8
"4659","09/05/1984","France","02/12/2024",2024,2
"4674","28/08/1993","France","10/06/2024",2022,11
"4675","11/10/1983","France","21/03/2020",2020,12
"4676","29/07/1982","France","18/10/2024",2022,6
"4680","10/05/1999","France","02/03/2020",2024,8
"4681","11/11/1984","France","05/03/2023",2022,6
"4685","08/10/2006","France","01/01/2021",2024,4
"4690","13/05/1998","France","31/12/2020",2024,9
"4693","01/03/1997","France","23/01/2025",2020,10
"4700","28/07/2009","France","09/03/2020",2021,5
"4701","02/05/1998","France","06/07/2022",2024,4
"4703","18/07/1981","France","23/01/2022",2021,2
"4714","16/05/2003","France","20/05/2021",2024,1
"4717","10/09/1986","France","28/06/2020",2021,3
"4723","26/03/1985","France","27/10/2024",2020,12
"4724","16/06/2003","France","24/07/2022",2020,4
"4726","29/07/1989","France","14/07/2023",2020,11
"4731","07/12/1995","France","23/12/2020",2025,8
"4738","09/01/1986","France","23/08/2023",2020,2
"4739","22/09/1991","France","18/04/2020",2023,12
"4748","19/09/2000","France","19/02/2021",2022,10
"4750","26/12/2006","France","14/10/2022",2020,10
"4754","07/08/2003","France","15/03/2024",2023,1
"4760","13/09/1989","France","05/08/2022",2022,1
"4761","29/09/2004","France","07/05/2020",2024,10
"4768","17/09/2000","France","17/08/2023",2021,5
"4769","24/07/2003","France","16/12/2021",2023,9
"4771","16/06/1997","France","29/05/2024",2022,5
"4774","15/10/1982","France","06/10/2024",2023,2
"4775","04/11/1983","France","30/05/2022",2023,1
"4778","21/12/2001","France","05/08/2023",2022,9
"4779","15/07/1989","France","08/04/2025",2024,2
"4784","23/12/2000","France","05/05/2024",2022,12
"4793","07/05/2008","France","29/01/2022",2023,1
"4801","11/03/1980","France","30/08/2024",2020,3
"4802","01/04/2004","France","17/09/2023",2020,1
"4803","09/06/1998","France","25/05/2024",2023,11
"4808","23/06/1996","France","09/06/2022",2024,6
"4815","29/01/2005","France","15/11/2022",2021,1
"4816","23/05/1987","France","24/01/2020",2022,1
"4817","03/12/2002","France","04/01/2023",2020,9
"4824","27/03/2006","France","26/08/2020",2022,2
"4826","29/12/2001","France","16/07/2021",2020,11
"4828","27/09/1982","France","18/05/2021",2020,10
"4831","10/08/2008","France","15/02/2021",2023,10
"4845","26/05/1989","France","12/04/2023",2024,4
"4852","14/07/1994","France","17/07/2024",2025,6
"4861","02/10/2002","France","22/10/2021",2021,7
"4867","07/03/2001","France","10/12/2020",2024,5
"4882","16/10/2004","France","22/10/2022",2022,5
"4884","23/07/2000","France","26/05/2024",2025,10
"4885","21/08/1988","France","16/06/2022",2025,10
"4898","02/05/2006","France","25/04/2022",2024,4
"4901","25/08/1985","France","17/05/2020",2023,8
"4903","28/07/1980","France","15/01/2023",2024,8
"4905","27/03/2005","France","03/08/2020",2021,12
"4909","25/03/1984","France","26/01/2023",2021,6
"4911","02/09/1981","France","26/05/2025",2020,12
"4915","12/01/2003","France","05/04/2023",2022,10
"4921","12/11/1997","France","02/07/2021",2020,7
"4924","14/03/1990","France","10/04/2021",2023,6
"4925","14/10/1983","France","02/09/2024",2023,2
"4928","23/02/1992","France","16/07/2023",2024,3
"4929","28/01/2004","France","27/06/2023",2022,10
"4933","27/01/2007","France","03/11/2021",2025,3
"4934","27/02/2007","France","09/05/2023",2023,3
"4937","20/02/1997","France","19/06/2024",2023,3
"4939","18/05/1986","France","19/09/2023",2020,10
"4940","14/05/1986","France","18/09/2024",2020,1
"4946","05/01/1982","France","31/10/2021",2020,5
"4947","30/12/1985","France","13/01/2020",2022,3
"4950","14/02/1997","France","11/03/2020",2023,1
"4954","08/12/1999","France","03/02/2024",2021,7
"4956","31/12/1986","France","04/08/2024",2022,1
"4959","13/08/2002","France","14/01/2020",2020,1
"4963","22/05/2004","France","23/11/2023",2021,5
"4967","18/05/1987","France","13/11/2020",2024,8
"4972","19/05/2007","France","19/03/2023",2022,1
"4973","20/09/1988","France","29/11/2022",2024,9
"4976","19/11/1997","France","13/12/2020",2025,11
"4978","03/01/1998","France","11/06/2021",2021,6
"4981","18/02/2002","France","02/12/2021",2024,3
"4982","31/08/2006","France","25/04/2024",2024,11
"4983","01/11/1987","France","03/02/2021",2022,6
"4990","15/08/1990","France","13/01/2022",2025,5
"4992","24/10/1991","France","05/01/2020",2024,12
"4994","08/04/1995","France","03/11/2023",2022,3
"4996","24/05/1984","France","18/03/2023",2020,5
"5001","30/07/1991","France","16/03/2025",2020,3
"5005","23/11/1999","France","20/09/2020",2020,3
"5006","03/05/2008","France","08/05/2025",2020,1
"5012","20/02/1990","France","07/10/2020",2020,10
"5025","08/05/1988","France","03/02/2024",2021,1
"5029","18/06/2002","France","16/07/2023",2020,1
"5031","28/07/1996","France","20/02/2022",2021,4
"5035","03/06/1981","France","18/11/2023",2025,3
"5037","03/06/2006","France","19/08/2022",2025,10
"5046","14/02/2002","France","04/11/2020",2023,12
"5049","31/10/2000","France","08/04/2023",2021,11
"5050","16/10/1981","France","13/05/2023",2024,8
"5052","18/08/2000","France","28/09/2024",2021,8
"5054","10/12/2005","France","11/03/2025",2020,7
"5058","02/09/2007","France","09/12/2023",2022,10
"5070","25/06/1998","France","26/04/2025",2021,8
"5074","28/12/2003","France","04/03/2025",2025,12
"5076","20/12/1999","France","09/05/2023",2023,2
"5081","20/09/2003","France","16/03/2025",2022,4
"5089","16/08/1997","France","04/11/2021",2023,9
"5091","26/08/2009","France","03/10/2024",2022,4
"5094","05/04/2006","France","07/05/2022",2021,11
"5104","30/08/1990","France","20/07/2024",2023,10
"5106","11/09/2007","France","08/10/2020",2025,11
"5110","23/06/1981","France","25/04/2024",2021,5
"5123","03/08/2009","France","31/12/2020",2022,9
"5132","21/01/2004","France","09/06/2022",2021,3
"5143","30/08/2004","France","09/07/2024",2020,5
"5144","18/01/2007","France","23/11/2021",2021,12
"5145","22/07/2001","France","27/11/2021",2024,1
"5151","08/10/2002","France","02/03/2021",2022,4
"5153","22/10/1988","France","13/03/2020",2022,12
"5155","26/05/1998","France","04/07/2024",2024,6
"5162","24/04/2005","France","15/09/2024",2023,10
"5163","19/01/2000","France","15/04/2025",2021,4
"5171","10/06/2002","France","03/04/2022",2022,4
"5172","13/09/1996","France","05/05/2024",2025,2
"5173","09/01/2009","France","04/07/2023",2021,2
"5175","12/12/2006","France","17/06/2025",2021,2
"5176","13/07/1986","France","26/02/2021",2021,3
"5185","19/08/2001","France","03/08/2024",2021,1
"5190","16/06/1980","France","03/12/2021",2021,3
"5196","14/09/1990","France","11/09/2024",2023,8
"5198","20/07/1997","France","14/02/2024",2024,4
"5200","13/11/1980","France","24/11/2023",2025,11
"5204","12/12/2008","France","29/11/2022",2021,1
"5208","24/07/2005","France","29/05/2022",2024,9
"5209","09/08/1992","France","15/09/2021",2024,1
"5211","25/08/1986","France","23/10/2023",2025,3
"5218","14/06/2007","France","19/08/2023",2024,10
"5221","02/10/1994","France","11/04/2020",2021,10
"5224","15/10/1996","France","04/02/2022",2025,7
"5237","26/01/2004","France","20/01/2022",2020,2
"5239","01/10/1986","France","29/09/2024",2025,3
"5245","08/11/2006","France","27/12/2020",2022,4
"5248","17/06/1999","France","07/10/2024",2020,7
"5253","03/04/1987","France","09/05/2020",2023,6
"5270","17/04/1989","France","13/03/2020",2024,12
"5272","21/11/1996","France","19/06/2025",2023,5
"5277","29/02/2004","France","04/04/2022",2022,8
"5278","30/07/1994","France","01/09/2024",2023,8
"5287","01/01/2006","France","10/04/2023",2022,12
"5289","22/07/1994","France","30/08/2023",2024,9
"5291","24/10/1989","France","21/01/2024",2023,10
"5302","31/01/2001","France","25/10/2023",2025,5
"5307","19/11/2002","France","10/05/2025",2024,5
"5309","30/11/1998","France","15/11/2023",2022,1
"5311","17/12/1993","France","20/03/2021",2022,9
"5314","24/01/1999","France","08/10/2020",2021,6
"5315","18/02/1999","France","05/01/2024",2023,5
"5319","26/07/1984","France","31/12/2022",2021,4
"5322","03/04/1993","France","13/11/2022",2021,5
"5323","19/09/1980","France","03/04/2020",2025,10
"5330","30/10/1980","France","29/03/2025",2022,7
"5335","05/01/1992","France","04/10/2022",2025,1
"5343","06/01/1997","France","06/06/2021",2021,9
"5356","08/06/1995","France","06/05/2021",2022,3
"5357","29/02/1992","France","05/05/2025",2024,2
"5372","05/08/1986","France","03/05/2024",2022,12
"5374","20/09/2003","France","04/08/2021",2021,12
"5381","29/08/1995","France","21/03/2020",2021,2
"5393","16/06/2003","France","09/08/2022",2020,12
"5398","22/12/1996","France","15/02/2020",2021,10
"5400","25/09/2004","France","02/07/2024",2023,1
"5410","15/12/2002","France","25/08/2023",2023,6
"5413","24/01/1986","France","28/08/2023",2022,7
"5422","28/07/1993","France","26/10/2020",2022,2
"5423","29/03/1998","France","25/09/2024",2021,4
"5424","08/05/1995","France","13/04/2023",2023,1
"5427","06/06/2008","France","25/10/2024",2023,6
"5436","27/01/1999","France","23/05/2022",2025,7
"5437","04/02/1993","France","24/10/2021",2022,2
"5440","10/11/2003","France","14/06/2025",2024,8
"5449","07/01/2000","France","24/05/2025",2020,9
"5451","15/05/2001","France","14/06/2024",2022,2
"5453","28/10/1981","France","08/12/2021",2024,11
"5456","29/10/1983","France","18/10/2021",2021,5
"5468","24/08/2005","France","28/11/2023",2023,5
"5471","12/12/1986","France","08/01/2021",2022,1
"5474","27/12/2001","France","19/04/2024",2020,7
"5478","04/09/1998","France","17/06/2022",2022,6
"5479","21/05/1993","France","30/10/2023",2021,12
"5480","03/01/2008","France","14/07/2020",2024,1
"5481","09/01/2002","France","13/03/2025",2020,8
